A_Type_CompPad,B_Extd_CompPad,C_Extd_Frame_Btm,D_Extd_SideBeam,E_ThermalResin_Thx,F_dt_Cell,G_MaxT,Time_TR_Adj_1,Time_TR_Adj_2
Aerogel,3.66704918,19.48229508,38.5284153,4.800819672,14.52094718,1509.215574,1968,2378
PU,5.135136612,25.7747541,43.99107468,4.117650273,8.138433516,1369.324863,1509,1520
Si,3.979562842,29.62014572,29.56965392,3.434480874,11.75227687,1559.488798,2314,2539
Aerogel,3.67431694,19.78817851,24.81714026,2.598688525,11.2859745,1352.931421,1453,1809
Si,3.121967213,35.65041894,38.47378871,3.223715847,11.89799636,1461.67459,3002,3053
Aerogel,4.161256831,25.11928962,20.99327869,4.895300546,10.32422587,1570.964208,1829,2054
Aerogel,4.66273224,21.09910747,34.04903461,5.723825137,7.20582878,1461.67459,2131,2309
Si,2.416994536,12.18479053,37.81826958,2.053606557,9.537340619,1321.237432,1331,1729
Si,4.706338798,22.89071038,45.68449909,3.020218579,4.495446266,1323.423224,2556,2576
Si,4.924371585,26.56131148,49.1259745,5.178743169,5.16575592,1407.029781,3892,4162
Aerogel,5.593005465,26.77979964,22.85058288,5.767431694,11.2859745,1363.313934,3697,3718
PU,5.33863388,13.67051002,26.61981785,4.931639344,6.856102004,1375.88224,749,1138
Aerogel,2.765846995,22.49743169,47.59642987,5.876448087,16.44444444,1394.461475,3098,3097
PU,5.847377049,23.02180328,26.67444444,4.553715847,18.36794171,1298.83306,2550,2435
PU,2.075409836,18.87052823,23.34222222,4.00136612,14.08378871,1397.740164,927,1680
Si,5.236885246,19.52599271,29.95204007,2.707704918,4.087431694,1290.636339,1865,2075
Aerogel,5.433114754,21.66717668,42.57078324,2.213497268,15.42440802,1458.94235,1775,2258
PU,4.706338798,33.15965392,43.8271949,5.062459016,19.79599271,1402.658197,3577,2773
Si,3.114699454,24.11424408,26.29205829,5.106065574,13.53005465,1404.843989,3251,3395
Aerogel,5.433114754,25.20668488,48.1973224,4.132185792,11.51912568,1488.450546,2417,2623
PU,5.345901639,22.06045537,35.30544627,2.286174863,13.03460838,1465.499727,983,1637
Si,2.576885246,24.72601093,37.43588342,3.914153006,7.030965392,1506.483333,1944,2171
Aerogel,4.84442623,15.98648452,31.4815847,5.636612022,13.32604736,1342.002459,2546,2836
Aerogel,4.67726776,33.37814208,42.0791439,5.178743169,13.12204007,1503.751093,3375,3379
Aerogel,4.139453552,28.83358834,45.02897996,4.117650273,19.03825137,1493.915027,2967,3071
Aerogel,2.431530055,30.05712204,33.39351548,2.823989071,16.18214936,1370.964208,2353,2410
Aerogel,4.66273224,25.55626594,45.30211293,3.325464481,16.00728597,1379.707377,2688,2842
Aerogel,3.550765027,26.77979964,30.82606557,4.858961749,12.97632058,1435.99153,2585,2696
Si,3.296393443,22.27894353,41.1504918,2.722240437,16.67759563,1552.931421,2021,2493
Si,2.140819672,12.27218579,22.03118397,5.040655738,13.76320583,1554.570765,1575,2190
Aerogel,3.717923497,23.93945355,35.74245902,2.700437158,16.38615665,1534.352186,1699,2213
Aerogel,3.01295082,22.93440802,28.20398907,2.84579235,5.486338798,1560.035246,947,1162
Aerogel,2.809453552,15.11253188,49.28985428,5.978196721,10.09107468,1437.084426,1738,2151
Aerogel,3.601639344,33.90251366,39.34781421,5.156939891,5.690346084,1543.095355,2447,2371
Aerogel,4.67,16.94783242,24.70788707,3.870546448,13.44262295,1278.068033,2231,2444
PU,3.972295082,15.11253188,46.99553734,3.085628415,12.36429873,1497.193716,766,1559
Si,5.258688525,29.83863388,41.31437159,2.874863388,16.91074681,1563.860383,2627,2941
PU,2.242568306,13.45202186,28.58637523,2.707704918,8.3715847,1401.565301,421,1049
PU,3.056557377,23.37138434,31.04457195,4.219398907,19.73770492,1446.374044,1672,2343
Aerogel,5.047923497,23.85205829,37.10812386,3.427213115,8.721311475,1462.221038,1780,2035
Aerogel,3.34,15.06883424,20.99327869,4.299344262,6.797814208,1439.270219,1132,1458
Aerogel,3.18010929,15.89908925,49.01672131,3.587103825,17.0856102,1504.843989,1653,2357
Aerogel,2.823989071,19.39489982,30.33442623,5.920054645,4.641165756,1399.925956,1751,1837
Aerogel,4.590054645,29.27056466,40.44034608,4.139453552,10.09107468,1376.428689,2823,2996
Aerogel,4.074043716,16.29236794,36.67111111,4.546448087,4.72859745,1344.7347,1567,1897
Si,2.235300546,17.16632058,22.57744991,4.430163934,6.389799636,1446.374044,1692,1859
Si,4.909836066,30.36300546,28.8048816,3.492622951,6.069216758,1389.543443,2685,2779
Si,3.042021858,20.61843352,31.75471767,4.604590164,18.04735883,1562.767486,2488,2960
PU,2.467868852,17.7343898,42.40690346,2.896666667,17.61020036,1329.434153,1235,2082
Si,5.760163934,22.45373406,20.77477231,5.396775956,11.78142077,1469.324863,3008,3339
PU,2.097213115,32.98486339,46.66777778,2.286174863,4.757741348,1402.658197,878,879
Aerogel,3.238251366,32.19830601,50,4.917103825,14.08378871,1430.527049,3681,3289
PU,2.119016393,13.53941712,39.23856102,5.898251366,11.37340619,1558.94235,651,1433
PU,3.83420765,20.22515483,27.9308561,5.258688525,17.28961749,1347.46694,1836,2168
PU,5.404043716,17.25371585,26.34668488,5.207814208,6.47723133,1532.712842,747,1062
Si,4.84442623,13.93269581,36.7803643,4.967978142,14.57923497,1364.406831,2907,3302
Aerogel,3.848743169,14.63185792,36.88961749,2.162622951,18.36794171,1471.510656,1335,2269
Aerogel,5.142404372,21.62347905,36.28872495,4.306612022,11.78142077,1295.007924,2868,3006
Aerogel,3.114699454,32.67897996,45.52061931,3.027486339,8.255009108,1536.537978,1711,1815
Si,4.204863388,33.94621129,40.54959927,4.386557377,5.02003643,1514.133607,3103,3325
PU,5.513060109,20.61843352,48.251949,2.874863388,8.954462659,1437.084426,970,1377
Aerogel,2.787650273,13.84530055,27.87622951,3.00568306,5.74863388,1310.30847,1063,1249
Aerogel,2.089945355,26.95459016,29.56965392,5.702021858,8.633879781,1523.969672,1771,1896
PU,3.870546448,13.05874317,26.34668488,5.934590164,4.72859745,1464.406831,520,891
Aerogel,5.193278689,23.80836066,28.25861566,2.758579235,12.97632058,1545.827596,1607,2005
Aerogel,2.402459016,29.27056466,34.75918033,3.899617486,7.526411658,1338.723771,2144,2205
Aerogel,2.765846995,19.83187614,26.94757741,5.265956284,12.18943534,1530.527049,1616,1992
PU,3.906885246,15.85539162,26.1828051,3.296393443,11.46083789,1317.958743,879,1455
Aerogel,2.533278689,12.53437158,45.79375228,5.811038251,7.438979964,1320.144536,1658,1911
Aerogel,5.411311475,35.16974499,25.80041894,3.165573771,16.91074681,1513.04071,2704,2808
Aerogel,3.717923497,26.91089253,49.83612022,2.126284153,4.029143898,1460.035246,1202,1288
Aerogel,4.815355191,31.45544627,23.66998179,4.321147541,8.954462659,1363.860383,3043,3058
Aerogel,3.289125683,22.84701275,42.57078324,4.444699454,16.93989071,1327.248361,3024,3006
Aerogel,3.965027322,30.79998179,33.39351548,3.049289618,17.90163934,1410.30847,2780,2775
PU,5.84010929,13.84530055,48.1973224,2.605956284,4.320582878,1539.270219,475,792
Aerogel,5.949125683,35.69411658,43.99107468,4.742677596,9.420765027,1473.696448,3828,3973
Aerogel,5.680218579,12.22848816,43.88182149,3.943224044,15.97814208,1463.313934,1839,2484
PU,5.229617486,31.67393443,38.85617486,4.590054645,15.80327869,1471.510656,2360,2229
Si,3.659781421,14.58816029,42.0245173,4.415628415,4.990892532,1360.581694,2079,2342
Aerogel,2.438797814,18.21506375,32.90187614,3.33273224,11.3151184,1569.324863,1076,1617
PU,5.345901639,30.05712204,27.82160291,3.085628415,15.33697632,1492.822131,1568,1908
