sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,CellD_x_Resin
11,boundary,hybrid,12.590451196991026,1.4443505066927824,2.65596339262043,20.02947864152968,ETI,combo_001,0.5440248,0.45597517,0.91195035,0.101775326,0.28671323548795885,142.86948460117688,1.6423405158523943,0.0,0.0959782960522694,0.9999996509999997,0.7141283857410617,0.4798238786404471,0.13463223752331865,0.4915254748845891,142.86948460117688,1.6423405158523943,33.439777475782236
12,notp_high_tmax,hybrid,13.0330962983045,1.4184854279404007,2.372663970255979,9.950807052752184,ETI,combo_001,0.103523396,0.8964766,0.2070468,0.11367356,0.3202319815913186,143.36807686044537,1.6422438318953199,0.023489157358805482,0.05021323213354517,0.9999996509999997,0.20402831104928681,0.4829388968206301,0.1388765329253188,0.46687514832772803,143.36807686044537,1.6422438318953199,30.923158007863655
13,notp_high_tmax,hybrid,12.089355994366448,1.3813824160584465,1.7470246894983121,19.852603035565007,ETI,combo_001,0.19094302,0.809057,0.381886,0.09262271,0.2609292310523586,142.57419096085565,1.6456290275687258,0.6062866846720378,0.16958812082889327,0.9999996509999997,0.33667451254248054,0.4827146605475319,0.13938720189806109,0.2685451117712178,142.57419096085565,1.6456290275687258,21.120403402292602
14,notp_high_tmax,hybrid,14.00494204001479,1.453002653561592,1.7449846446667463,15.741771769686803,ETI,combo_001,0.10255238,0.89744765,0.20510477,0.15884155,0.44747559840556156,139.53493733605583,1.6407843893134382,0.01701569557189956,0.07310458232540558,0.9999996509999997,0.22463037758055038,0.4260381325996418,0.19419842796558426,0.31600867536009347,139.53493733605583,1.6407843893134382,24.438408809273586
15,notp_high_tmax,hybrid,14.946735556701633,1.5091025349568539,2.245717786884785,14.31301104023505,ETI,combo_001,0.23903866,0.76096135,0.4780773,0.15595795,0.4393521582160612,139.16161046515424,1.6422120497522412,0.9269243081410726,0.10221857746310883,0.9999996509999997,0.42434654598329946,0.4232261222870389,0.196922322879997,0.37469429734610865,139.16161046515424,1.6422120497522412,33.566149895548115
16,misclass_repair,hybrid,12.62850232810166,1.341985754192338,1.7863101923365683,4.765837236408628,ETI,combo_001,0.9798997,0.020100296,0.04020059,0.040194035,0.11323139087199273,144.55746288776834,1.679485694205587,0.0,0.029523568985026564,0.9999996509999997,0.04979389170556937,0.5002053505608978,0.05586356636208974,0.7147937495800181,144.55746288776834,1.679485694205587,22.558422422634077
17,misclass_repair,hybrid,12.90146310552231,1.3062541028517218,1.2011471606589699,6.316137727436083,ETI,combo_001,0.9963759,0.0036240816,0.007248163,0.0072478177,0.020417967190897886,142.5564440248592,1.7906728072347757,0.0,0.03752146884663888,0.9999996509999997,0.013083480322644163,0.47305594790995426,0.03205663007568999,0.7118290499960007,142.5564440248592,1.7906728072347757,15.496555777544579
18,uncertainty_sparse,hybrid,14.95802023676113,1.0059974594770311,2.2461173478990633,29.633582985356977,ETI,combo_001,1.0,0.0,0.0,0.0,0.0,162.19390939132316,4.948418944435224,0.0,0.5606446882973289,0.9999996509999997,0.07148219775790944,0.9116103204286653,0.46133290448528813,0.11831802371546704,162.19390939132316,4.948418944435224,33.59746874401443
19,random_check,hybrid,12.02614293305944,1.9162452449734928,1.8451829292856163,26.16149738362649,ETI,combo_001,8.678904e-06,0.9999913,1.7344952e-05,1.7357754e-05,4.889886302730788e-05,127.7125226148936,1.7673100181586507,0.0,0.3080336296858754,0.9999996509999997,0.039294154342719594,0.2704262351885905,0.0755490533612624,0.13195465244964932,127.7125226148936,1.7673100181586507,22.19043364523013
20,fill_mixed,hybrid,10.440973645148409,1.3057361628085413,1.5852263441764798,20.7457632604699,ETI,combo_001,0.536503,0.46349698,0.92699397,0.31322348,0.8823879165490573,145.04643771505474,1.7163825752094237,0.0,0.28674328703960467,0.9999996509999997,0.8386711504351938,0.5344451927588095,0.4188589624014146,0.1701652423026122,145.04643771505474,1.7163825752094237,16.551306481141587
