sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,tmax_scaled
34,misclass_reinforce,gp,10.046481305591143,1.2574655189046002,1.5779978294326031,1.6905740395115518,Si3,PU,combo_005,0.5001887728544429,0.4998112271455571,0.9996224542911144,0.0921652126495939,0.2932012544092597,349.4860281126973,1.4269868352285044,0.0,0.4056245276720375,0.46875,0.7502383007427867,0.4049118647706291,0.2664986641695502,0.440178937157749
35,misclass_reinforce,gp,8.115621707356203,1.4243929362841603,1.5097108692941263,1.452990671292501,Si3,PU,combo_005,0.4778954574911722,0.5221045425088278,0.9557909149823444,0.1050275848804987,0.3346591917233242,313.3436772904583,1.5133005185589297,0.0,0.4653090380847162,0.46875,0.7379870005287948,0.299301648643024,0.2983386853119263,0.2773616303775011
36,misclass_reinforce,gp,9.212193428656889,1.1143091656292474,2.7036188065483184,1.6139786329430816,Si3,PU,combo_005,0.4781712644448461,0.5218287355551539,0.9563425288896924,0.1043803696526094,0.3325730906632047,335.57713232918,1.7140782550762363,0.0,0.4424352639171535,0.46875,0.7350858894382847,0.3726932511088712,0.3136637157752012,0.3775208947161383
37,misclass_reinforce,gp,15.146792931980151,0.6800827977429637,2.707365799026453,0.5400565902621792,Si3,PU,combo_005,0.4534557506349443,0.5465442493650556,0.9069115012698888,0.1720732101943157,0.5507603339965923,419.2501048520539,1.6293020973382888,0.0,0.4027674399058451,0.46875,0.733344866943068,0.6302319192079711,0.3758512334419192,0.7544584133484155
38,misclass_reinforce,gp,15.01972352605041,1.079604637532853,1.4690952594527713,1.1284008289386835,Si3,PU,combo_005,0.4850719735154172,0.5149280264845828,0.9701439470308344,0.0792289233631,0.2515050679913718,417.9751241099352,1.6781226523291208,0.0,0.4588806241255765,0.46875,0.7332343132580632,0.6331764607652275,0.2842670858424343,0.7487147656358069
39,misclass_reinforce,gp,14.56521479496745,1.0367310288945912,1.5712352285557096,2.1597210817968446,Si2,Si2,combo_004,0.4698101081546539,0.530189891845346,0.939620216309308,0.1614488620846829,0.5165159854406047,414.1130079726407,1.4320426281672012,0.0,0.377996703551868,0.46875,0.7445116312229922,0.6060854723672842,0.3410053300692162,0.7313163581265781
40,misclass_reinforce,gp,11.453876617504314,0.864747163332028,2.5034861932268684,0.9084665880145164,Si2,Si2,combo_004,0.5081261541359741,0.4918738458640259,0.983747691728052,0.0714306358951384,0.2263696647236136,367.33844259435097,1.5902169656939933,0.0,0.5067835366999157,0.46875,0.7436658522159721,0.47585029048887,0.2741235551758527,0.5206020966728466
41,misclass_reinforce,gp,15.393248947536971,1.0847793274245534,1.3349689625730654,1.759622101789698,Si2,Si2,combo_004,0.5192181937389435,0.4807818062610565,0.961563612522113,0.1314610141359872,0.4198592958251719,422.1641528136024,1.588691372507306,0.0,0.3615038296300125,0.46875,0.7409666071022597,0.6341686627138597,0.3199049054633437,0.7675858782236626
42,misclass_reinforce,gp,15.987791442758017,1.1362028195706324,1.2323665427925974,1.8378429251082644,Si2,Si2,combo_004,0.4729037973140677,0.5270962026859323,0.9458075946281356,0.1337150531389818,0.4271245036742402,427.3318173176304,1.7707794336963838,0.0,0.3996097188310558,0.46875,0.7375400585058363,0.6593243197662183,0.345835940499867,0.7908656372251716
43,misclass_reinforce,gp,12.114690900514471,0.9339959776869762,2.137696154671356,0.713067285381637,Si2,Si2,combo_004,0.5092214018124075,0.4907785981875925,0.981557196375185,0.0825038211021304,0.2620607028880571,374.8169918269964,1.7320239419239092,0.0,0.4140157243656007,0.46875,0.7358882671330578,0.4940887939991037,0.2864631453004901,0.5542921366669686
