Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
27,10.84435599,Si1,0.5,PU,1.227438246,1.502400301,1,509.4961026,892.3072882,-0.000261959,0.001833713,1126.606002,83.000001,74.7
28,13.12336382,Si1,1.932266148,PU,2.281833758,0.529296764,0,344.7354276,261.7788327,-0.000318934,0.055178333,996.1563082,217.1,93.6
29,11.87311335,Si1,1.424313282,PU,2.788862359,2.155735324,0,362.4471874,272.2397734,0.001438389,0.055367071,997.5360981,218.6,87.3
30,12.01919907,Si1,1.204842163,Si1,1.311165526,2.273516712,0,382.9880211,324.0746674,-0.00145665,0.055426348,1092.155151,205,89.2
31,9.50069596,Si1,0.5,PU,2.88475325,1.777460618,1,376.3292,806.3356967,0.006165923,0.044988398,1009.981901,106.000001,75.8
32,8.978373579,Si1,1.355663109,PU,2.453941059,1.321870127,0,327.273233,282.9575887,0.001076546,0.055309584,840.9904433,179,75.2
33,14.81725868,Si1,1.456427876,PU,2.374764044,2.5,0,400.794688,271.4989166,-0.000361282,0.055207394,1213.860431,250.1,100.4
34,14.32213936,Si1,1.491602692,Si1,2.460993565,1.303804842,0,379.9611519,268.5172061,0.002442325,0.055313377,1122.905627,233,99.3
35,8.630910314,Si1,2.382447486,PU,2.404590418,1.62991953,0,277.5325215,253.7511494,0.000206623,0.055437449,687.6611947,193.1,77.2
36,8.496979197,Si1,1.316674845,Si1,2.144891571,2.198242913,0,323.0938626,283.9375096,0.000203275,0.055395332,812.1503574,174.2,73.9
37,14.02036919,Si1,2.275538775,Si1,2.97036774,1.432537897,0,337.6378232,249.9972558,-0.002389515,0.055400099,965.2816721,251.7,100
38,16,Si1,0.5,PU,1.823887256,1.760375604,1,460.7858451,540.6275683,0.00429935,0.04651115,1479.671709,164.000001,99.2
39,11.65865938,Si1,0.5,Si1,1.695126514,2.5,1,410.0073354,573.1021066,0.000282316,0.045452952,1137.818881,118.000001,83.2
40,11.48947033,Si1,1.787002887,Si1,2.176870678,1.497577393,0,334.5351646,263.2661587,0.000278087,0.055280588,895.5958344,220.5,87.3
41,11.01230235,Si1,0.5,PU,2.320222129,0.579344617,1,394.9031412,795.8157842,0.005056993,0.042319043,1103.986511,111.000001,82.5
42,14.74711727,Si1,1.386498652,PU,1.577286509,2.496115783,0,409.1962206,276.7636971,-0.000359528,0.055074128,1234.081685,246,101.4
43,13.08574791,Si1,0.765622101,PU,2.866594771,1.720837693,1,408.7911528,687.3524641,-0.014309717,0.034661313,1204.423943,169.000001,89.9
44,9.039451274,Si1,1.876396019,Si1,2.990907494,1.687378711,0,296.904634,263.3420953,-0.000650509,0.055288204,749.6798494,200.9,77.2
45,14.90516513,Si1,1.847113339,Si1,3,2.445659945,0,369.8905012,257.5340126,0.000363479,0.055374423,1093.914676,263.6,102.4
46,9.556827887,Si1,1.698354362,Si1,2.973324087,2.496991566,0,313.6505859,266.9528352,-0.000689312,0.05532249,797.9224891,205.8,78.2
