row_id,D_Barrier_Outer_Type,TP_NoTP,MaxT_TB,p_tp
72,PU,1,358.6823673,0.5486651659011841
73,Si1,1,342.2103804,0.9665075540542603
74,Si1,1,338.4386137,0.9794154167175293
75,PU,1,345.6014227,0.9879997372627258
76,PU,1,357.2749129,0.9761734008789062
77,PU,0,376.014388,0.14701983332633972
78,Si1,0,418.8180081,0.0027860926929861307
79,PU,1,462.0132381,0.9999905824661255
80,PU,0,392.4145507,0.00020198433776386082
81,Si1,0,310.4169969,0.031072353944182396
82,PU,0,388.4219569,0.29065579175949097
83,Si1,1,328.088562,0.9943232536315918
84,PU,1,401.5007221,0.8156747817993164
85,Si1,1,324.5920355,0.9896737933158875
86,Si1,0,360.881098,0.006761765573173761
87,Si1,1,340.3354162,0.8906069993972778
88,Si1,0,345.5326763,0.08522196859121323
89,Si1,0,423.5348944,0.04443185776472092
90,Si1,0,374.9488423,0.0020019139628857374
91,Si1,0,428.6143517,0.050865210592746735
92,Si1,0,352.6206688,0.09637333452701569
93,PU,0,421.1995387,0.6106293201446533
94,Si1,0,372.1093429,0.03864274173974991
95,PU,1,434.6506361,0.9560100436210632
96,PU,0,401.1613099,0.047316353768110275
97,PU,1,372.3804656,0.4170531630516052
98,PU,1,359.0317,0.9592062830924988
99,Si1,1,389.6045393,1.0
100,Si1,0,313.4425515,5.3892068535787985e-05
101,PU,0,344.7377268,0.32457780838012695
102,PU,0,311.2749913,0.10612113773822784
103,PU,0,397.2790386,0.11314447224140167
104,PU,0,382.0075618,0.13548865914344788
105,PU,0,317.2188686,0.07397864758968353
106,PU,0,333.2818112,0.14901103079319
107,PU,0,305.4915674,0.046556513756513596
108,PU,0,387.3467801,0.15739195048809052
109,PU,0,409.966209,0.07769373059272766
110,PU,1,339.6169286,0.33191990852355957
111,PU,0,314.6722776,0.07460813224315643
112,PU,0,364.8096724,0.26600590348243713
113,PU,0,422.3069902,0.05508088320493698
114,PU,0,357.5419643,0.31427648663520813
115,PU,1,433.6453679,0.9932751655578613
116,PU,1,411.5138018,0.9583294987678528
117,PU,0,379.7768035,0.07061855494976044
118,PU,1,353.550196,0.9448865056037903
119,PU,1,434.8377633,1.0
120,Si1,0,408.1386641,0.008294368162751198
121,Si1,0,410.2243113,0.009441925212740898
122,Si1,1,339.134064,0.9847040176391602
123,Si1,1,343.854022,0.973057746887207
124,Si1,1,321.563582,0.9875293970108032
125,Si1,1,323.0028969,0.876957893371582
126,Si1,1,334.4364054,0.9648812413215637
127,Si1,0,311.5200748,0.11823661625385284
128,Si1,0,397.1443206,0.005479349754750729
129,Si1,1,344.2891161,0.9550520777702332
130,Si1,0,397.6521512,0.004209136590361595
131,Si1,0,351.3714815,0.11758730560541153
132,Si1,1,344.4608266,0.9838632345199585
133,Si1,0,372.2522275,0.08596795052289963
134,Si1,0,434.7637791,0.25141316652297974
135,PU,1,409.9947431,0.5488107800483704
136,PU,0,382.6934564,0.13559368252754211
137,PU,1,354.0420311,0.9007009267807007
138,Si1,1,336.459166,0.9852005243301392
139,PU,1,336.5611044,0.5851148366928101
140,PU,0,374.9283524,0.5335537791252136
141,PU,1,363.8988415,0.6433365941047668
142,PU,0,311.0863501,0.12074122577905655
143,PU,0,380.2583755,0.319823682308197
144,PU,0,317.9625796,0.1412525624036789
145,PU,0,384.213685,0.3450774848461151
146,PU,0,379.37083,0.18197165429592133
147,PU,0,374.0003201,0.2794082462787628
148,PU,1,311.1324763,0.2819189429283142
149,PU,0,424.0609228,0.5394251346588135
150,PU,0,318.2714434,0.20276732742786407
151,PU,0,419.111486,0.6683423519134521
152,Si1,0,340.1415726,0.014250442385673523
153,PU,0,306.0849239,0.32726961374282837
154,Si1,1,435.8663527,0.8861984014511108
155,PU,1,411.2173031,0.6363875269889832
156,Si1,0,384.4798323,0.11494775116443634
157,PU,1,349.8204229,0.7644431591033936
158,Si1,1,458.1224741,1.0
159,PU,0,325.599937,0.003046902362257242
160,PU,0,331.4010114,0.07254153490066528
161,PU,1,336.4529201,0.26258912682533264
162,PU,1,405.7873114,0.8731168508529663
163,PU,1,405.2674666,0.8399959802627563
164,Si1,1,326.6346181,0.9070340394973755
165,PU,0,342.8530467,0.13655023276805878
166,PU,1,325.7565774,0.9402100443840027
167,PU,1,408.6051943,0.7941254377365112
168,PU,0,320.4567999,0.09179253876209259
169,PU,0,335.5468833,0.18436665832996368
170,PU,1,418.9365375,0.934070885181427
171,Si1,0,322.1636686,0.33401384949684143
172,PU,0,430.888746,0.3526827394962311
173,Si1,0,408.4998075,0.05662300065159798
174,Si1,1,387.3913744,0.922278881072998
175,Si1,0,354.9811372,0.016729705035686493
176,Si1,0,351.3845548,0.024600179865956306
177,PU,0,353.0944028,0.5062372088432312
178,PU,1,414.1818127,0.6617953181266785
179,PU,1,363.5910252,1.0
180,PU,1,415.7948189,0.9786081314086914
181,PU,0,360.2338732,0.2622244656085968
182,PU,0,351.8519299,0.37648552656173706
183,PU,0,318.9446982,0.015557725913822651
184,PU,1,353.8265793,0.6857578158378601
185,PU,0,317.7100288,0.009856952354311943
186,PU,0,312.428644,0.007957261987030506
187,PU,0,316.0028412,0.03496620059013367
188,Si1,1,327.2003173,0.81634122133255
189,PU,0,423.6334708,0.3900323510169983
190,PU,1,425.3453274,0.8451662063598633
191,Si1,1,397.18294,0.8012017011642456
192,Si1,0,398.2473763,0.2874094843864441
193,Si1,0,426.5300513,0.08412553369998932
194,PU,1,410.1406866,0.6451829671859741
195,Si1,0,384.979147,0.1195959821343422
196,PU,0,351.0946793,0.14311721920967102
197,PU,0,423.0338207,0.35596299171447754
198,PU,0,384.0811568,0.22999027371406555
199,Si1,1,409.7895666,1.0
200,PU,0,325.3279815,4.094573523616418e-05
201,PU,0,360.2338732,0.2622244656085968
202,PU,0,351.8519299,0.37648552656173706
203,PU,0,318.9446982,0.015557725913822651
204,PU,1,353.8265793,0.6857578158378601
205,PU,0,317.7100288,0.009856952354311943
206,PU,0,312.428644,0.007957261987030506
207,PU,0,316.0028412,0.03496620059013367
208,Si1,1,327.2003173,0.81634122133255
209,PU,0,423.6334708,0.3900323510169983
210,PU,1,425.3453274,0.8451662063598633
211,Si1,1,397.18294,0.8012017011642456
212,Si1,0,398.2473763,0.2874094843864441
213,Si1,0,426.5300513,0.08412553369998932
214,PU,1,410.1406866,0.6451829671859741
215,Si1,0,384.979147,0.1195959821343422
216,PU,0,351.0946793,0.14311721920967102
217,PU,0,423.0338207,0.35596299171447754
218,PU,0,384.0811568,0.22999027371406555
219,Si1,1,409.7895666,1.0
220,PU,0,325.3279815,4.094573523616418e-05
221,Si1,1,414.1651556,0.9800770878791809
222,Si1,1,431.9904517,0.9963101148605347
223,Si1,1,411.9063202,0.9860479235649109
224,Si1,1,430.9174224,0.9968082308769226
225,Si1,0,373.648415,0.1219690814614296
226,Si1,0,308.9991915,0.11267833411693573
227,Si1,0,383.0124727,0.10072200000286102
228,Si1,1,381.5385641,0.76963871717453
229,PU,1,321.7165742,0.9673646092414856
230,PU,1,324.6322171,0.9512216448783875
231,PU,1,347.1987255,0.9911068677902222
232,PU,1,337.1575381,0.9692940711975098
233,Si1,1,442.4125678,0.9898869395256042
234,Si1,1,413.5130954,0.9202467799186707
235,Si1,0,385.3255638,0.06691072136163712
236,PU,1,358.1539767,0.9492708444595337
237,PU,1,416.8106536,0.907023549079895
238,PU,1,378.0423643,0.9544205665588379
239,Si1,1,426.523267,0.9724672436714172
240,PU,0,389.3093083,0.017861338332295418
