sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
11,boundary,gp,9.318918256996193,1.8896064535539028,1.2150042592844517,2.4753691495393815,A2,PU,combo_011,0.5070088682230338,0.4929911317769662,0.9859822635539324,0.11745281661330062,0.49630736580534757,320.9041169050495,3.32621000793746,0.0,0.7524713410003325,0.9375,0.8765768976629342,0.44370998603606915,0.59845743874213
12,boundary,gp,9.14396150719259,1.800133303332187,1.2833515455503663,0.8724597322273133,Si1,PU,combo_001,0.49189872097502274,0.5081012790249773,0.9837974419500455,0.13875300310795974,0.5867561344879954,296.70676769322034,3.8830220153322785,0.0,0.6506880241239783,0.9375,0.8758668712092835,0.37281426878054247,0.6488318933013506
13,boundary,gp,8.027671325011877,1.7997951401700178,2.9795867843747748,0.5518529640834002,Si3,PU,combo_005,0.4795169076398764,0.5204830923601236,0.9590338152797528,0.12684438077403332,0.5361875525142927,275.63914498408053,3.766972805164663,0.0,0.8223432584311615,0.9375,0.8754332684185699,0.3266379099180995,0.6497981399380286
14,boundary,gp,13.964924389005333,0.9505504010168746,1.1469171725139216,1.2676777217685133,A1,Si1,combo_008,0.4919405013432474,0.5080594986567526,0.9838810026864948,0.15574006323634806,0.6588897128740853,410.97771128521526,2.3596141703440914,0.0,0.5356841450263536,0.9375,0.8720736320204372,0.6673380813146531,0.5638472431200203
15,boundary,gp,13.370948968674679,0.5134303692708326,2.266866930826719,1.2258096026152356,A1,Si2,combo_009,0.5061579126378817,0.4938420873621183,0.9876841747242366,0.15135177626742605,0.6402553618056273,410.9677354156699,1.5126279546721721,0.0,0.5387950164702798,0.9375,0.8719380028317254,0.6528499635687182,0.5060962569313199
16,boundary,gp,11.086785396324155,1.3711608565078224,1.230739523496399,1.3212290474479778,Si1,PU,combo_001,0.5093939696488228,0.4906060303511772,0.9812120607023544,0.15321020446348413,0.6481469613491673,347.86502801692967,2.7740933624169957,0.0,0.5426804405476335,0.9375,0.8697662264900993,0.4915736190117324,0.5864343593126413
17,boundary,gp,13.167397698542494,0.6803332057903444,2.628804802515729,1.1897222554825575,A2,Si1,combo_012,0.5078447358165921,0.49215526418340794,0.9843105283668159,0.15137208437166602,0.6403415978122109,410.20173436718505,1.475817642440888,0.0,0.5345885728794594,0.9375,0.8694072970922181,0.649557925881659,0.5032487646990871
18,boundary,gp,10.9095234490803,1.3141278917116177,1.2510180257845904,2.0839295513864253,Si1,PU,combo_001,0.4972413248608438,0.5027586751391562,0.9944826497216877,0.1273362635281645,0.5382762755148425,353.32417469695406,2.6553503558912177,0.0,0.5912894426169053,0.9375,0.867379271845286,0.5102528838530678,0.5480235195684509
19,boundary,gp,10.680423022913823,1.8386114358394494,1.1895473594364856,0.5076773043476648,Si3,PU,combo_005,0.5027582058906548,0.4972417941093452,0.9944835882186904,0.11667680925985709,0.49301214068488924,325.3673502426032,3.934021447010527,0.0,0.6241940496640312,0.9375,0.8647855474250181,0.45447199615793527,0.6151601369906041
20,boundary,gp,10.2410526690349,1.750711677308514,1.3709532114093679,0.530318191579103,Si3,Si3,combo_006,0.5020434637061895,0.49795653629381054,0.9959130725876211,0.09289136154746273,0.39200999881674115,320.45054190754774,3.6401009704193803,0.0,0.7303879435440958,0.9375,0.8640254908140179,0.44565528590091513,0.5777991078798915
21,boundary,gp,11.245366960245317,1.647469696251989,1.211923109730837,0.6675017706954451,A2,PU,combo_011,0.4980889508240245,0.5019110491759755,0.996177901648049,0.1275701859393971,0.5392695998722874,347.14665834127015,3.065055343774354,0.0,0.5469429422546684,0.9375,0.8628827665989024,0.4949829662435176,0.5667254505663382
22,notp_high_tmax,gp,15.999850824336068,0.3382267116955772,1.9241649644381715,2.487772197136473,Si1,PU,combo_001,0.4619976698355117,0.5380023301644883,0.9239953396710234,0.06717947132166972,0.28282744250393527,465.11191141034817,3.0271885242613235,0.0,0.6785187526820542,0.9375,0.7982437344468111,0.8508227913680402,0.49439587509516936
23,notp_high_tmax,gp,13.842663285565804,0.47932697314763667,2.3444250568915717,2.4855730332702146,A1,Si2,combo_009,0.36626747417830074,0.6337325258216993,0.7325349483566015,0.1453370772434228,0.6147146407957794,424.9793227405512,1.6596530698006366,0.22488350547799515,0.6044701201249542,0.9375,0.7246666807074764,0.70276265652175,0.515981911636947
24,notp_high_tmax,gp,11.987739751168602,0.47960454141696846,2.9753455456131586,2.39188912154719,A1,Si3,combo_010,0.41672077256956186,0.5832792274304381,0.8334415451391237,0.05266832788181294,0.2212075568451203,388.96822685195616,1.7585118800642559,0.0,0.4983736348282808,0.9375,0.7121527413251525,0.589065223321477,0.36837378247506863
25,notp_high_tmax,gp,9.726483444448297,0.5986571208580062,2.9771553601474627,2.1786016330846003,Si1,Si1,combo_002,0.46252503838789494,0.5374749616121051,0.9250500767757899,0.03165931910036226,0.13199524051156977,354.3171800832913,1.90694202570831,0.0,0.27413379859667164,0.9375,0.7246873910794059,0.4683763821255543,0.31257289352420947
26,uncertainty_sparse,gp,8.079987329213433,1.1712303602838277,1.4506791659723883,0.6182951337691903,Si1,PU,combo_001,0.9587477493955703,0.04125225060442972,0.08250450120885944,0.14553262122784094,0.6155449956200602,307.654485856392,4.753338760757109,0.0,0.7060873185208236,0.9375,0.3509793106736854,0.42539498874484594,0.7203374559972308
