A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj
15.34963564,Si2,2.003330789,PU,2.583689628,2.318040757,0,366.8386497
14.34332908,Si2,0.490845892,PU,1.143211399,2.420508113,1,443.8077548
11.64163837,Si2,1.773546878,PU,2.245890145,1.551510056,0,330.6182631
13.35650291,Si2,0.828912908,PU,1.501871034,1.160284803,1,404.5880527
10.2116192,Si2,1.012128031,PU,1.557606798,2.311484935,1,358.5545276
11.75869325,Si2,0.298438762,PU,2.998956581,2.44001307,1,400.4042874
9.138295103,Si2,1.669358447,Si2,2.990418766,2.423722522,0,306.5527153
9.246117339,Si2,0.361006836,Si2,1.298058883,0.736785741,1,418.5883567
14.16627696,Si2,1.465677558,Si2,2.952419618,2.386349787,0,375.0443167
12.32821413,Si2,1.778361247,Si2,2.267739574,0.789856393,0,336.5987596
15.2436584,Si2,0.555878138,Si2,1.768984476,1.828789635,1,442.5459764
13.21918765,Si2,0.430191822,Si2,2.74830114,1.224349687,1,411.4140164
10.60982016,Si2,0.273127681,Si2,2.869401634,2.182236963,1,389.6578046
10.6600977,Si2,0.472286762,Si2,2.075385461,2.219935169,1,389.5775571
11.51949112,Si2,2.070768931,Si2,2.204851272,2.135715952,0,321.3693716
8.484104513,Si2,2.239274545,Si2,2.801671295,0.631867836,0,265.2624785
11.83716332,Si3,1.424746312,PU,2.668224334,2.078645547,0,356.3409416
13.95889953,Si3,1.05624275,PU,2.162068925,1.515823215,0,402.1189241
10.07453349,Si3,0.695796592,PU,1.574776949,2.456949375,1,378.441463
15.67589493,Si3,1.250810094,PU,2.772691804,2.486952382,0,406.6630626
12.81380849,Si3,0.353741239,PU,2.381566852,1.0396576,1,417.6641307
11.66374048,Si3,2.143403329,PU,1.726923981,1.798781154,0,331.9876739
14.24849488,Si3,0.749027079,PU,1.100360393,2.121244762,1,436.0003268
9.650298722,Si3,1.372214926,PU,1.922553585,0.877608982,0,329.863711
8.336191355,Si3,2.020053983,PU,2.969490519,2.408600448,0,288.8699919
11.98213847,Si3,0.308510374,PU,2.729364383,2.278169762,1,412.4352149
15.11664968,Si3,2.11831754,Si3,1.779040768,1.334232366,0,371.8575737
12.36747278,Si3,1.510747336,Si3,2.192115861,2.203831889,0,364.8205741
13.47577167,Si3,0.286784561,Si3,1.957538219,0.863500976,1,432.6910629
10.452413,Si3,0.990541388,Si3,2.932191441,2.449053935,0,357.5516104
9.916157265,Si3,0.280684413,Si3,2.542523717,1.373135591,1,377.7499634
9.029494802,Si3,1.280287533,Si3,2.362152998,1.286003305,0,327.0368826
11.28436278,Si3,1.143465421,Si3,2.94439274,1.429404768,0,356.0154962
12.79735546,Si3,0.392800991,Si3,2.404925715,2.355441441,1,421.7357921
15.07084067,Si3,1.8949633,Si3,2.918199277,2.452109946,0,375.086076
10.31917393,Si3,0.340038328,Si3,1.214918418,1.90381655,1,448.7488285
12.53382048,A1,0.439714663,PU,2.894862314,0.817063793,1,394.3966649
13.74771502,A1,2.200820337,PU,2.957352237,1.413701521,0,330.4915776
9.841409571,A1,0.295212534,PU,1.410684476,2.497498194,1,384.8114145
10.37584175,A1,0.637133653,PU,2.886602691,1.843221049,1,362.2478554
8.416658988,A1,2.444229612,PU,2.652490647,2.108983389,0,266.0174615
9.808567501,A1,0.686140613,PU,2.021095745,1.477222205,1,363.8067241
14.08555624,A1,0.611691248,PU,2.285151865,1.320040126,1,412.8191944
15.74725747,A1,0.45436423,PU,1.244248815,0.504218147,1,444.2879955
8.891448732,A1,0.408443259,Si1,2.533371247,1.609394397,1,365.2772871
8.036615674,Si3,1.163689963,PU,2.177039035,1.81732807,1,324.4521291
8.033440453,A2,1.506106086,PU,2.343281612,1.613462818,0,311.420805
8.153696019,A2,1.405442382,Si2,2.386487158,1.695077471,1,317.0646024
8.541569106,Si3,1.059481665,PU,2.754170003,0.762449943,1,327.8047377
12.71220081,A1,1.026155055,Si2,1.111185732,2.35987181,1,399.3376112
15.83254398,A1,0.685447725,Si1,2.548446524,1.043397445,0,422.1182428
10.47636055,A2,1.410005362,PU,2.352441555,0.70088713,0,339.0048237
10.06616561,A2,1.684520413,Si1,1.540520332,1.219607296,0,331.8618603
11.21760163,Si3,1.057895719,Si3,1.578636783,0.979247533,1,369.051672
10.48413297,Si3,0.795896949,PU,2.936789121,1.251458504,1,361.5923829
15.86967625,A2,1.137601811,Si2,1.972723155,1.638102492,1,427.4832908
10.47039272,A2,1.410394967,PU,2.348450061,0.858257307,0,339.621953
14.00405011,A2,1.316106817,Si3,1.138512758,2.414266918,1,411.6595168
15.87550981,Si1,0.983210208,Si1,1.197586164,1.515291237,0,430.7024571
12.28353302,A1,0.837519039,Si1,2.502592444,0.969107957,0,376.0923689
12.16997862,A2,1.178806177,Si3,2.238840801,0.844412123,0,373.8415186
12.09959884,Si3,1.245552652,PU,1.300909191,0.955621464,1,375.6806203
15.6572839,Si3,0.88780614,Si3,1.273031646,2.053336262,1,438.7994269
11.95350376,Si3,0.955692802,Si3,1.582674578,2.47172477,1,390.725644
9.955426502,Si3,1.162428366,Si3,1.41719995,2.011043521,1,358.0629943
8.227098605,Si3,1.860747965,PU,1.145472655,0.642177319,0,287.4763493
8.088317853,Si1,2.092394068,Si1,1.175774773,0.633772798,0,271.855305
8.464429441,A1,0.266553568,PU,2.515364023,1.308917446,1,357.7157356
8.466178438,A1,0.999308918,Si2,2.595932921,1.793519393,1,327.7393061
8.011132056,A1,1.627257214,Si2,1.121108284,2.372429927,0,295.0316891
9.132692904,A2,1.719421577,Si2,1.505945707,0.778708641,0,316.4287901
9.233152664,A2,1.63719864,Si2,1.742266137,1.091742246,0,322.0537962
8.828149371,A2,1.887239819,Si2,1.19103635,1.044177571,0,302.695262
10.33885066,A1,1.109616139,Si2,1.817180622,2.044296702,0,352.2448744
11.60067546,A2,1.618234061,Si2,1.369422804,0.921378903,0,355.3073429
10.76198346,A2,1.787912841,Si2,1.16004455,2.499782593,0,347.6755898
13.09313072,A2,1.06110549,Si2,2.41128703,2.137759887,0,397.9749592
11.2604825,A1,0.564164936,PU,2.879674904,2.4462602,0,379.2425187
10.12115133,A1,1.050251203,PU,1.946690797,2.137769716,0,349.5811478
14.37572442,A2,1.194856478,Si1,1.744512042,2.118215848,1,412.5451267
14.33735151,A1,0.980747247,Si2,1.591498547,0.984430986,0,405.6718591
12.26017344,A1,0.59987508,Si2,2.713530098,1.967747752,1,392.2761105
14.03380795,A2,0.924200304,Si1,2.489671228,1.312515239,1,409.5347986
12.89689363,Si2,1.377693912,Si2,1.267190666,0.979982103,0,374.1734797
14.34997365,A2,1.311663198,Si2,1.790226026,1.769494548,0,405.6361709
15.92821073,Si1,0.256346025,Si1,2.685641153,2.380893464,1,449.9507208
