A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_T_Garph,Time_MaxT,Time_Max_Power
1.07577167,-0.563215439,-0.042461781,-0.136499024,Si3,Si3,1,437.5428962,848.3298006,0.000327744,0.044900962,-1254.677377,23.5,120.000001,89.9
-1.947587,0.140541388,0.932191441,1.449053935,Si3,Si3,0,353.3960919,337.4569364,0.025972506,0.039084839,-960.8739291,23.5,167.9,81.4
-2.483842735,-0.569315587,0.542523717,0.373135591,Si3,Si3,1,370.6202382,828.0540738,0.00358131,0.044646998,-1048.462855,23.5,96.000001,76.7
-3.370505198,0.430287533,0.362152998,0.286003305,Si3,Si3,1,326.0397094,980.3563161,0.000216587,0.046133084,-854.6460719,23.5,147.000001,75.3
-1.115637225,0.293465421,0.94439274,0.429404768,Si3,Si3,0,353.1659619,280.4298477,0.002456631,0.055318859,-981.5287615,23.5,206,84.6
0.397355457,-0.457199009,0.404925715,1.355441441,Si3,Si3,1,422.4205266,520.6744543,-0.000310784,0.044442094,-1199.398944,23.50000001,133.000001,87.6
2.670840666,1.0449633,0.918199277,1.452109946,Si3,Si3,0,383.1019671,254.3500336,0.000367621,0.055321575,-1103.97381,23.5,260.1,103.1
-2.080826068,-0.509961672,-0.785081582,0.90381655,Si3,Si3,1,474.0943903,823.7545022,0.000248829,0.00323478,-1101.676216,23.5,78.000001,72.7
0.133820483,-0.410285337,0.894862314,-0.182936207,A1,PU,1,393.6637665,659.8963663,0.012472016,0.035590874,-1135.964577,23.5,157.000001,87.8
1.347715015,1.350820337,0.957352237,0.413701521,A1,PU,0,333.831459,246.7818942,-0.000334543,0.055182526,-933.784554,23.5,250.6,99.5
-2.558590429,-0.554787466,-0.589315524,1.497498194,A1,PU,1,375.9677733,797.8426981,-0.003553279,0.044771312,-1059.379516,23.5,96.000001,78.2
-2.024158248,-0.212866347,0.886602691,0.843221049,A1,PU,1,361.5094499,832.475737,0.000250246,0.036786162,-990.9720067,23.5,148.000001,80.6
-3.983341012,1.594229612,0.652490647,1.108983389,A1,PU,0,260.1386261,250.3292618,0.000201267,0.055323511,-649.7969214,23.5,206.7,76.5
1.17615584,-0.192318329,0.722168255,1.397046885,A1,PU,0,405.5812,279.5833926,-0.000330254,0.055161082,-1161.109432,23.5,223.2,92.9
-2.591432499,-0.163859387,0.021095745,0.477222205,A1,PU,1,357.2990701,552.0394451,0.018176947,0.040366987,-980.7446508,23.5,126.000001,78.7
1.685556239,-0.238308752,0.285151865,0.320040126,A1,PU,0,417.2031567,282.1386533,0.002400923,0.05518912,-1224.824655,23.5,213.2,94.6
3.347257467,-0.39563577,-0.755751185,-0.495781853,A1,PU,0,453.9100429,284.7939776,-0.000384532,0.055051737,-1379.070367,23.5,197.1,91.5
1.134568688,0.78687988,-0.366759412,0.638829457,A1,PU,0,369.8386529,265.4565112,-0.000329214,0.055403997,-1048.34819,23.5,231.9,96.8
-3.508551268,-0.441556741,0.533371247,0.609394397,A1,Si1,1,352.1726333,601.7322615,-0.001918226,0.042840386,-973.3553619,23.5,102.000001,74.2
0.480481615,-0.067311568,0.550857145,0.93971597,A1,Si1,0,392.2822974,279.2782498,0.00156431,0.05528186,-1117.82558,23.5,216.4,91
-0.961379372,1.339869035,-0.478816773,0.700442322,A1,Si1,0,315.9551551,258.7823962,0.001384078,0.055431553,-845.8162118,23.5,226,90.8
2.471815693,-0.325229653,-0.35264792,-0.235183485,A1,Si1,1,441.2301368,837.6403431,-0.000362646,0.035901905,-1384.013189,23.5,190.000001,96.4
1.270834746,-0.599387217,0.054356229,1.008414261,A1,Si1,1,440.4202094,801.5739188,-0.000332621,0.041577594,-1269.88932,23.5,142.000001,89.1
1.029610329,1.030202891,0.296969506,-0.390855811,A1,Si1,0,342.8654975,252.8734968,-0.00032659,0.055183581,-968.233369,23.5,223.9,96.3
-1.886311927,-0.449442985,0.080101573,1.462202305,A1,Si1,1,381.1738969,518.5562468,0.000761077,0.046425682,-1069.243435,23.5,112.000001,79.5
-4.394529858,1.538576472,0.785238038,1.037649385,A1,Si1,0,257.4015319,250.8595691,0.001336907,0.055443079,-640.1292364,23.5,197.4,74.4
-1.571061943,-0.531085834,-0.805834501,0.397446517,A1,Si1,1,430.3955436,639.115984,0.000261574,0.005493044,-1134.261345,23.5,82.000001,75.2
-1.463230131,-0.592871647,0.993576787,-0.168540022,A1,Si1,1,382.5401789,795.1083034,0.013477732,0.042018811,-1076.363489,23.5,114.000001,77.7
-2.436041396,-0.598057572,-0.55048706,-0.095645208,A1,Si2,1,372.0364508,571.327178,0.000239949,0.051109137,-1066.184374,23.5,93.000001,78.2
-3.22654677,-0.288300268,-0.022933538,1.409791143,A1,Si2,1,358.065978,808.5919376,-0.000220186,0.044697809,-969.5899686,23.50000001,110.000001,75.5
-4.271829474,-0.587097574,0.86253203,-0.439215828,A1,Si2,1,343.5594214,807.0718168,0.000194054,0.049095725,-932.2334862,23.5,90.000001,70.1
-1.087258465,0.761778949,0.854543763,0.194277214,A1,Si2,0,322.2580908,264.1967884,0.000273669,0.055390519,-880.017505,23.5,222,86.5
-1.532375468,0.590622745,-0.469213149,0.012174606,A1,Si2,0,336.0935219,279.3891597,0.000262541,0.055316753,-924.1183557,23.5,201.7,85.3
-1.258582691,-0.250359046,0.975615899,1.359643906,A1,Si2,0,373.3219788,349.2426429,-0.043371066,0.027207936,-1036.195379,23.5,185.4,82.2
1.446293056,0.887292802,0.313884865,-0.310292311,A1,Si2,0,358.2072408,255.7652804,-0.000337007,0.055384595,-1018.117776,23.5,225.8,98.1
3.199402883,-0.501082687,0.701512564,0.718481772,A1,Si2,0,446.3516046,280.8507453,-0.000380835,0.05517012,-1373.821607,23.5,236.5,97.5
2.101320444,0.097811771,-0.15467672,0.777563456,A1,Si2,0,415.7932041,277.5417974,0.002473681,0.055313874,-1232.793694,23.5,228,98.5
1.980923548,1.485729799,0.736900264,1.147569417,A1,Si2,0,345.7110037,244.9963115,0.002452611,0.055429467,-962.6038461,23.5,267.6,102.6
2.342014245,-0.573580668,0.838821339,0.135296685,A1,Si3,0,433.3845806,287.8760504,-0.009703807,0.055423819,-1301.197302,23.5,178.2,93.2
3.030500979,-0.596692201,0.124507799,1.375168834,A1,Si3,1,458.7342673,555.6047981,-0.000376613,0.042557213,-1423.016511,23.5,190.000001,96.4
1.529845902,0.225680118,0.010184034,1.262444932,A1,Si3,0,401.5649386,272.1522186,0.002373674,0.055216796,-1154.568239,23.5,233.3,97
-2.355386381,-0.307445974,0.756589912,0.764546037,A1,Si3,1,361.8754701,573.499797,0.021050977,0.040408197,-990.6435133,23.5,129.000001,75.8
1.221062133,0.379380214,0.899433836,1.337124591,A1,Si3,0,378.3619601,264.8259155,-0.000331377,0.05525425,-1074.894319,23.5,238.6,96.2
-3.803409279,-0.080975151,-0.576815339,1.295106656,A1,Si3,1,345.0795708,606.3524228,0.000617294,0.044650951,-905.1039323,23.5,113.000001,74.7
1.808517258,0.191688263,-0.671162186,0.538163581,A1,Si3,0,412.2993445,278.1975789,0.002422441,0.055088977,-1247.062395,23.5,223.7,98
-4.032075612,1.437551346,0.483504887,0.683021085,A1,Si3,0,263.645542,254.7515136,0.000200048,0.055356624,-665.8368198,23.5,200.3,75.5
