A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,TP_NoTP,MaxT_Adj
14.08555624,0.611691248,2.285151865,1.320040126,A1,PU,0,417.2031567
15.74725747,0.45436423,1.244248815,0.504218147,A1,PU,0,453.9100429
13.53456869,1.63687988,1.633240588,1.638829457,A1,PU,0,369.8386529
8.891448732,0.408443259,2.533371247,1.609394397,A1,Si1,1,352.1726333
12.88048162,0.782688432,2.550857145,1.93971597,A1,Si1,0,392.2822974
11.43862063,2.189869035,1.521183227,1.700442322,A1,Si1,0,315.9551551
14.87181569,0.524770347,1.64735208,0.764816515,A1,Si1,1,441.2301368
13.67083475,0.250612783,2.054356229,2.008414261,A1,Si1,1,440.4202094
13.42961033,1.880202891,2.296969506,0.609144189,A1,Si1,0,342.8654975
10.51368807,0.400557015,2.080101573,2.462202305,A1,Si1,1,381.1738969
8.005470142,2.388576472,2.785238038,2.037649385,A1,Si1,0,257.4015319
10.82893806,0.318914166,1.194165499,1.397446517,A1,Si1,1,430.3955436
10.93676987,0.257128353,2.993576787,0.831459978,A1,Si1,1,382.5401789
9.963958604,0.251942428,1.44951294,0.904354792,A1,Si2,1,372.0364508
9.17345323,0.561699732,1.977066462,2.409791143,A1,Si2,1,358.065978
8.128170526,0.262902426,2.86253203,0.560784172,A1,Si2,1,343.5594214
11.31274154,1.611778949,2.854543763,1.194277214,A1,Si2,0,322.2580908
10.86762453,1.440622745,1.530786851,1.012174606,A1,Si2,0,336.0935219
11.14141731,0.599640954,2.975615899,2.359643906,A1,Si2,0,373.3219788
13.84629306,1.737292802,2.313884865,0.689707689,A1,Si2,0,358.2072408
15.59940288,0.348917313,2.701512564,1.718481772,A1,Si2,0,446.3516046
14.50132044,0.947811771,1.84532328,1.777563456,A1,Si2,0,415.7932041
14.38092355,2.335729799,2.736900264,2.147569417,A1,Si2,0,345.7110037
14.74201425,0.276419332,2.838821339,1.135296685,A1,Si3,0,433.3845806
15.43050098,0.253307799,2.124507799,2.375168834,A1,Si3,1,458.7342673
13.9298459,1.075680118,2.010184034,2.262444932,A1,Si3,0,401.5649386
10.04461362,0.542554026,2.756589912,1.764546037,A1,Si3,1,361.8754701
13.62106213,1.229380214,2.899433836,2.337124591,A1,Si3,0,378.3619601
8.596590721,0.769024849,1.423184661,2.295106656,A1,Si3,1,345.0795708
14.20851726,1.041688263,1.328837814,1.538163581,A1,Si3,0,412.2993445
8.367924388,2.287551346,2.483504887,1.683021085,A1,Si3,0,263.645542
10.75541305,0.265774801,1.163809775,0.917384586,A1,Si3,1,519.835265
11.79253594,2.094508329,2.630104339,0.679022843,A1,Si3,0,305.4375127
10.41976045,0.322632724,1.23059624,1.949465706,A2,PU,1,503.2503007
11.00878398,0.388444766,2.410751216,0.653249859,A2,PU,1,384.4457993
11.55071558,1.309742851,2.377436037,2.266637593,A2,PU,0,365.8894942
14.85609027,0.269047108,2.602397488,2.468686194,A2,PU,1,457.7884174
15.64347052,1.20548389,2.961742583,2.051140417,A2,PU,0,422.2224218
12.74338934,0.502664564,2.642446696,1.745784684,A2,PU,1,414.8270611
8.208203153,0.336341253,2.92650417,2.01399067,A2,PU,1,347.0159485
9.400931426,1.540763213,1.671018788,1.203185704,A2,PU,1,326.4827593
14.55861847,0.518459974,1.663479661,1.570648437,A2,PU,1,451.0273941
12.61835832,1.817821594,2.815137091,1.140013845,A2,PU,0,351.1829676
9.273131259,0.331288007,1.865188596,1.286827926,A2,Si1,1,362.4608202
15.51532463,0.250352382,1.816035144,1.845437049,A2,Si1,1,475.3219312
15.16012329,2.495568875,2.586978264,2.197455934,A2,Si1,0,372.6796604
13.19793089,0.90474678,2.998108391,1.921125329,A2,Si1,0,399.3969553
12.01706185,1.264748479,1.370694142,2.231449373,A2,Si1,1,383.4870596
10.71773178,0.586163781,2.342360793,2.23030935,A2,Si1,1,382.2188609
10.12538896,0.25141984,2.965475963,0.928642201,A2,Si1,1,371.7706262
15.40922658,1.573624499,2.8763941,0.601054926,A2,Si1,0,403.3529834
15.30427781,0.80950198,2.251241416,1.898859952,A2,Si1,0,441.7240556
12.20105985,1.111618543,1.944167876,1.354851032,A2,Si1,0,383.076905
11.87703231,0.889844653,2.106930608,1.614585766,A2,Si2,1,387.7249686
12.50970948,0.937246511,2.984364221,1.727310428,A2,Si2,0,387.6997582
14.65341637,1.108812203,1.290500196,0.951601301,A2,Si2,0,420.6739627
14.40716613,1.38536366,1.705015885,2.493874902,A2,Si2,0,413.0831485
15.93440997,0.250044672,2.156395756,1.984433846,A2,Si2,1,477.2823994
8.837500635,0.483005596,2.224752046,2.481664322,A2,Si2,1,354.6551971
15.86551881,0.792431135,2.619083356,2.098009531,A2,Si2,0,446.3799639
15.01754631,0.741005884,2.809999751,1.052087859,A2,Si2,0,431.0778913
8.282002729,1.032523113,2.979355092,2.379547534,A2,Si2,1,333.5505488
8.740513603,2.351309017,2.033983308,2.350207744,A2,Si2,0,285.8225592
11.36678819,0.269594766,2.67899967,0.970795599,A2,Si3,1,397.1197759
9.45779309,1.942071446,2.935859878,1.66738732,A2,Si3,0,304.0855584
14.02813873,1.834821008,1.3552146,0.574194114,A2,Si3,0,379.0048058
14.92553128,0.713289296,2.450782088,1.264231188,A2,Si3,0,438.1166901
11.13159854,1.177040279,2.332549542,1.657828306,A2,Si3,0,362.6474983
14.59008182,1.685752139,1.888039528,2.15734973,A2,Si3,0,398.9894858
9.024323947,0.444930361,1.467825235,2.173479148,A2,Si3,1,361.1357736
13.02504411,0.632683605,2.515244585,2.289352106,A2,Si3,1,416.9028838
9.68595273,0.460922908,1.594305179,0.536013764,A2,Si3,1,367.496049
8.513705903,2.257721311,1.90123993,2.49155864,A2,Si3,0,286.8302646
