A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power
10.12115133,A1,1.050251203,PU,1.946690797,2.137769716,0,349.5811478,0.002194909,0.055308299,930.2510979
14.37572442,A2,1.194856478,Si1,1.744512042,2.118215848,1,412.5451267,0.003152187,0.029770655,1286.768567
14.33735151,A1,0.980747247,Si2,1.591498547,0.984430986,0,405.6718591,0.002444986,0.055343416,1248.734261
12.26017344,A1,0.59987508,Si2,2.713530098,1.967747752,1,392.2761105,0.04608992,0.030032787,1105.582471
14.03380795,A2,0.924200304,Si1,2.489671228,1.312515239,1,409.5347986,0.003758648,0.03451122,1242.534653
12.89689363,Si2,1.377693912,Si2,1.267190666,0.979982103,0,374.1734797,0.001566362,0.055317967,1044.151036
14.34997365,A2,1.311663198,Si2,1.790226026,1.769494548,0,405.6361709,0.002447195,0.055368341,1257.164368
15.92821073,Si1,0.256346025,Si1,2.685641153,2.380893464,1,449.9507208,0.000389055,0.044741354,1466.853268
11.98773975,A1,0.479604541,Si3,2.975345546,2.391889122,1,389.5368315,0.035155764,0.032831416,1098.732159
9.951132166,A2,0.956391943,Si1,2.930773961,1.893201275,1,362.3136964,-0.000239628,0.043372713,948.7041825
8.180606346,A1,1.352438341,Si2,1.160408968,2.334829379,0,310.0912655,0.000195365,0.0552965,748.4652724
8.523453013,A2,1.539815752,Si2,1.123945281,1.940814895,0,317.4221293,0.000203936,0.055281394,769.6740015
15.49067139,Si1,1.019880653,PU,1.102494507,2.066936095,1,425.4608992,0.000378117,0.032896157,1305.816067
15.8332085,Si1,0.889060685,PU,1.424345945,1.392055961,1,429.3495893,0.001160041,0.035961263,1404.428828
15.27170556,Si1,0.87040581,PU,1.559836795,1.75127271,1,424.9020236,-0.001863214,0.037636918,1347.008808
15.37677329,Si1,0.87727333,PU,1.539062137,1.677645591,1,427.5778688,0.001125808,0.031897886,1362.301921
10.00993947,Si2,1.272518794,Si2,1.346053585,1.915701198,1,345.6606566,0.00168769,0.036888071,907.2767101
9.326499804,Si2,1.361908278,Si2,1.1395742,1.404704769,1,325.8788978,-0.001568088,0.041890338,830.4256766
12.53532518,A2,1.42133745,Si1,1.155776434,0.657106195,1,379.0608048,0.031336012,0.039854539,1050.287389
8.626625174,A2,1.429525339,Si1,1.98350394,1.918375037,1,327.8402842,0.000619547,0.041922697,813.9275921
8.140346246,Si2,1.476758394,PU,1.225334345,1.809060101,0,309.3579973,-0.001749229,0.055348943,753.5208534
9.802033911,Si2,1.237290324,Si2,1.615046949,1.780971141,1,340.2787597,0.000707702,0.042226234,894.4680955
8.075063241,Si2,1.454322957,PU,1.268276085,1.872995736,0,308.7359367,0.000963633,0.05530989,754.7668796
13.74379407,Si1,0.822480325,PU,1.825271303,1.871227439,0,408.6095248,-0.000334445,0.05517447,1217.063655
12.37295934,Si1,0.998084473,PU,1.370997902,2.096885173,0,388.7193563,-0.00150087,0.055366006,1132.395471
10.45174116,A1,0.928235109,Si3,2.07629365,0.755391622,1,349.0422438,0.009833597,0.032022225,956.6900052
10.1090455,A1,1.07841895,Si1,1.71457318,0.805901735,1,343.3399676,0.003166491,0.036292861,926.1540649
10.10728133,Si2,1.243057212,Si2,1.403129762,1.999397571,1,347.094762,0.002678852,0.03287682,916.1316253
10.58115394,A2,1.284068694,Si1,2.213857315,0.523887962,1,345.8573485,0.003830681,0.036008404,950.1708672
15.97100798,Si2,0.63557415,PU,2.650360257,2.164020902,0,426.528061,-0.000390125,0.055058768,1360.864919
11.90748602,Si1,0.758804258,PU,2.238006439,2.48812259,0,385.0759928,0.002596834,0.055161029,1075.579652
9.917098218,Si1,1.170285533,PU,1.262966767,2.397048263,1,350.2157557,-0.004536773,0.033667628,904.909955
15.96912273,Si1,0.909996536,PU,1.543942257,2.401546387,1,431.785837,-0.000390078,0.051100218,1391.260322
15.66164023,Si1,0.989396198,PU,1.32543227,2.358197047,1,429.1606685,0.003441519,0.034032799,1388.86462
15.77100419,A2,1.420704731,PU,1.285498317,0.793556923,0,411.3548067,0.000385125,0.055093875,1283.680646
9.34081625,Si2,1.132998243,Si2,2.811815186,1.172306124,0,327.3835517,0.002019335,0.055347572,859.4439448
14.76330302,A2,1.295224781,PU,1.656213945,1.091993601,0,407.5129687,-0.000359933,0.05510487,1302.240444
14.10049527,A2,1.438925954,PU,1.27134062,0.761553155,1,396.0861457,0.036053063,0.036053063,1161.213594
14.4644369,A2,1.411090419,PU,1.335294748,0.516442882,0,398.3817482,-0.000352461,0.055241958,1270.68743
10.84921729,A2,1.568839462,PU,1.277718958,0.55880712,1,348.7643967,0.000786242,0.044815766,929.91714
11.99531356,Si1,1.032611389,Si1,1.509510302,0.765582112,0,372.233034,-0.001453664,0.055369621,1086.875028
15.75809385,Si2,1.135433154,PU,1.510936149,2.301511352,0,420.2923021,0.000384802,0.05507096,1345.27036
13.80987156,Si2,1.29304783,Si2,1.106436661,1.846432162,0,395.9246842,-0.000336097,0.055309934,1135.087949
13.29049637,A1,1.06833518,PU,1.32330745,0.73435535,0,389.0728859,-0.000323112,0.055214554,1189.6328
8.119785501,A1,1.146283865,Si1,2.797714854,1.165515651,0,311.5780582,0.000193845,0.055275955,792.7342853
8.321307008,A1,0.990070232,Si3,2.956550316,1.246228292,1,319.8337657,0.000198883,0.046737446,827.4688909
11.05446116,A1,1.198923265,PU,1.16531592,1.031942684,1,358.6098488,-0.017903171,0.039814514,956.8984744
9.384710878,Si2,1.062975234,Si2,2.532505237,2.125489182,0,338.6233172,-0.000676403,0.055257066,882.2012549
11.11552757,A1,1.176102745,PU,1.307933727,0.712807937,1,354.999718,0.000268738,0.04756667,951.1768691
13.93458349,A1,0.926900498,PU,1.729642227,0.618187732,0,399.1794656,-0.000339215,0.055226375,1210.760433
9.295005881,Si2,1.264909277,Si2,2.264449289,1.154844333,0,323.6538708,0.000223225,0.055429931,845.5115709
15.77881606,Si1,0.36569544,Si1,2.982010614,0.836322847,1,432.021399,-0.000385321,0.040458653,1391.159814
11.94163693,Si1,0.735371558,Si1,2.573932482,2.49062223,0,384.5123768,-0.001446955,0.055242138,1078.363919
9.425216166,A2,1.194484569,Si3,2.659262629,2.452050453,1,344.8146019,-0.000226481,0.04506962,888.5876964
15.91213588,A2,2.482686677,PU,1.116704103,2.204847105,0,382.780532,-0.000388654,0.055344399,1125.839149
15.31586121,Si2,2.491301553,PU,1.105197064,2.324930946,0,360.3096509,-0.000373747,0.055407241,1018.408452
9.106368495,A2,1.34477868,Si3,2.649379709,0.842561598,1,325.1107346,0.005462731,0.038676137,848.4769866
8.606543911,A2,1.40683511,Si2,1.901146022,2.439398834,1,328.738409,0.000618041,0.041820741,812.0128613
14.88030614,Si3,0.62640259,Si3,2.964963623,0.589370508,0,416.4156343,-0.000362858,0.055327189,1297.13233
8.957118664,A2,1.314325469,Si3,2.884047654,0.616148585,1,321.2788221,0.002362558,0.03973393,838.5397684
14.4394894,Si3,0.665678555,Si3,2.890597474,0.528750337,1,411.5732712,-0.005981233,0.036239237,1260.153431
12.79005246,A2,0.974442886,Si3,2.804174991,0.650126184,0,385.2390257,0.001553007,0.055393516,1132.724662
11.61085278,A2,1.064750676,Si3,2.811544325,0.820888721,0,366.2889648,0.001405607,0.05529989,1044.572218
