TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.9990234396123014,0.0009765603876985551,False,0.49902343961230144,0.05797588051207281,3_1_3_2,19.63960543,1.113164337,2.817524522,1.776142947,Si1,PU,combo_001,42,312.0382438,859.2695123,-0.003372882,0.01975545,1290.135767,,,34.882746666357406,3.1363678165133715,324.9129020318197
1,1,1,False,0.9999677229183135,3.2277081686515885e-05,False,0.4999677229183135,0.284485341714202,3_0_0_1,19.74448488,0.305565396,1.450814086,1.094086093,Si1,PU,combo_001,43,321.1947251,550.5630493,-0.001453386,0.04117927,1559.850358,,,21.602166320656778,0.4433185807109681,364.10459568577045
1,1,1,False,0.9997500783919122,0.0002499216080877886,False,0.4997500783919122,0.06251876238539773,0_0_3_2,13.28849916,0.439730428,2.914858397,1.564995642,Si1,PU,combo_001,44,304.5407958,626.6395801,-0.004199813,0.024875812,1364.420802,,,20.796443274120662,1.281751930472204,300.63819403023876
1,1,1,False,0.9999932724099381,6.727590061927913e-06,False,0.49999327240993807,0.1457992747206453,1_1_1_3,15.39254371,0.715208286,1.952780973,2.219546279,Si1,PU,combo_001,45,312.032937,712.188295,-0.007137608,0.016904862,1359.481083,,,34.16446311587535,1.3966451326327423,324.5800826986094
0,0,0,False,0.00010936841420061683,0.9998906315857994,False,0.4998906315857994,0.29680850176587364,1_3_2_2,14.19285056,1.711925514,2.071108986,1.912440758,Si1,PU,combo_001,47,242.5356839,238.2127148,-0.002419699,0.052125344,1074.028516,,,27.142985883147126,3.545584315408069,243.67476713542703
1,1,1,False,0.9999845333677513,1.546663224871736e-05,False,0.4999845333677513,0.16367644657108177,3_0_3_3,18.806949,0.52360949,2.647771553,2.253565455,Si1,PU,combo_001,48,317.9576733,931.3848563,-0.002305119,0.029966544,1469.284763,,,42.38269058034679,1.386398312502838,366.96429053974066
1,1,1,False,0.9999329778222545,6.702217774545716e-05,False,0.49993297782225454,0.20939901429409755,2_0_3_1,16.43995072,0.317421341,2.95683611,1.454101292,Si1,PU,combo_001,49,312.8938056,565.8491652,-0.002009244,0.035764541,1450.413946,,,23.905353582368328,0.9385628831534235,348.80630630362447
1,1,1,False,0.9998939228968311,0.00010607710316890007,False,0.4998939228968311,0.1737589271871564,2_0_3_3,17.42818251,0.342979567,2.877762321,2.481106205,Si1,PU,combo_001,51,318.5917066,648.1992662,-0.002132773,0.03881646,1475.584031,,,43.24117176743348,0.987013674785495,355.6428198455984
1,1,1,False,0.9999989985302591,1.0014697409133078e-06,False,0.4999989985302591,0.2161629607171272,3_0_2_3,18.06531948,0.586532814,2.199580405,2.001884226,Si1,PU,combo_001,55,315.6454717,656.5237794,-0.002212415,0.039380987,1442.389153,,,36.16467810466252,1.2901260845639095,377.0444114668855
1,1,1,False,0.9999938189982913,6.181001708682743e-06,False,0.4999938189982913,0.21911748114848675,2_0_2_3,16.80539511,0.463012307,2.17703058,2.372647564,Si1,PU,combo_001,57,318.2038277,858.9704841,-0.002054925,0.032467815,1453.396542,,,39.87327976979901,1.007991951255348,386.07780950452303
1,1,1,False,0.9999900413284877,9.958671512322326e-06,False,0.4999900413284877,0.2947897725989792,3_0_1_1,19.9471627,0.62186667,1.888690875,1.050340014,Si1,PU,combo_001,58,312.4201128,692.3562183,-0.002447645,0.026924095,1482.121974,,,20.95130314957828,1.1745139050956361,367.156730678129
1,1,1,False,0.9970007396783558,0.002999260321644215,False,0.4970007396783558,0.13496852903648526,0_0_0_0,13.68335434,0.35276901,1.468511263,0.643335527,Si1,PU,combo_001,59,305.4174671,557.8587944,-0.002996404,0.024970031,1429.357469,,,8.802987975451636,0.5180452644223595,307.95590953179607
1,1,1,False,0.9999977085626597,2.2914373403182253e-06,False,0.4999977085626597,0.10506214331878654,2_0_1_2,16.87056968,0.413451255,2.026387788,1.842738096,Si1,PU,combo_001,60,318.0454703,897.6877473,-0.002063071,0.033421754,1472.973026,,,31.088041450558528,0.837812574065274,353.122414903071
