pareto_rank_in_bin,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
2,combo_002,13.416692227602692,0.8736811068528845,1.9109810168253092,1.9813610758691642,Si1,Si1,0.4775449887622756,0.5224550112377244,400.5758962058127,1.5704002437952793,0.05119082328973317,1.002099161558131,0.02245501123772442,397.49791172797393,True,400.5758962058127,0.0,12-14,0.2191780821917808,17,nsga2,0.058611722618133064,0.720469915613779,0.8391781890893805,0.721658085246577,0.5127394282053429,medium,0.02245501123772442,0.9413882773818669
3,combo_007,12.325496813847405,0.5069087961433858,2.9965212238956593,1.5432427358890328,A1,PU,0.47555351476950847,0.5244464852304915,387.52770593462895,1.4092436574494962,0.09617992190011714,1.017425706163641,0.024446485230491533,384.76558836602794,True,387.52770593462895,0.0,12-14,0.2191780821917808,17,nsga2,0.0641374924550248,0.7976033561929639,0.4164906734926024,0.7066215627443402,0.45102049832731933,medium,0.024446485230491533,0.9358625075449752
4,combo_005,13.987660352751664,0.7498994301835493,2.3766551070824673,2.228368702066292,Si3,PU,0.3931354296744587,0.6068645703255413,415.4555543079359,1.3024517067067092,0.034073619580645115,1.2527129631878011,0.10686457032554131,412.9027489627908,True,415.4555543079359,0.0,12-14,0.2191780821917808,17,nsga2,0.29282406847191833,0.8487165671000247,1.0,0.4757866142418915,0.6284713862314626,medium,0.10686457032554131,0.7071759315280817
5,combo_006,12.01512348609565,0.6879239822797304,2.814890969254624,2.4846139855178855,Si3,Si3,0.36475790759851634,0.6352420924014837,390.7710462059472,1.250023777309917,0.07160963431527305,0.839221632815515,0.13524209240148366,388.32099960241976,True,390.7710462059472,0.0,12-14,0.2191780821917808,17,nsga2,0.3715635629882844,0.8738098423332215,0.6473366814706109,0.8814535048329729,0.653875561764934,medium,0.13524209240148366,0.6284364370117156
6,combo_008,13.275137940278773,0.7162110059391646,2.945916316341159,1.987655573544609,A1,Si1,0.1382709460785918,0.8617290539214082,394.8418165143792,1.034330364126595,0.14050945444760443,0.722896861354953,0.3617290539214082,392.8145290006911,True,394.8418165143792,0.0,12-14,0.2191780821917808,17,nsga2,1.0,0.9770459274746628,0.0,0.9955770785839334,0.7924503400299888,high,0.3617290539214082,0.0
1,combo_003,14.248039313810127,0.7407568540581062,2.6629800584620322,2.3082340082718114,Si2,PU,0.47896167114627985,0.5210383288537201,407.4648354838699,2.008340538780215,0.04840950962151574,1.4085119205772856,0.021038328853720145,403.52848802786065,True,407.4648354838699,0.0,14-16,0.2602739726027397,21,nsga2,0.05468083483630996,0.5108610967227409,0.8653095542606498,0.3229358191729349,0.39389890493760094,low,0.021038328853720145,0.9453191651636901
2,combo_006,15.710886241961033,1.0602077959358047,1.682490328666646,0.6944278014137748,Si3,Si3,0.46702260305876564,0.5329773969412344,421.4494198979305,2.693068791992593,0.09649754105078237,1.6014021457604326,0.03297739694123436,416.171005065625,True,421.4494198979305,0.0,14-16,0.2602739726027397,21,nsga2,0.08780832862141097,0.18313359125967965,0.4135065361382776,0.13369562928791534,0.18842864401624054,low,0.03297739694123436,0.912191671378589
3,combo_002,15.549175311971442,1.0533433147396816,1.6890625910728383,0.9020001200004348,Si1,Si1,0.45936243973432056,0.5406375602656794,412.18138040638354,2.6709051666237387,0.11224204001863881,1.6612228132920013,0.04063756026567944,406.946406279801,True,412.18138040638354,0.0,14-16,0.2602739726027397,21,nsga2,0.10906308745713579,0.19374163849604742,0.26558174194150674,0.07500694005042796,0.16066196155467727,low,0.04063756026567944,0.8909369125428642
4,combo_008,15.100041394780874,1.0597670243563475,1.2438311285345551,1.7953385890292786,A1,Si1,0.4564570697529007,0.5435429302470993,419.5125990604106,2.550313014479533,0.13129757550942703,1.5346511735222683,0.04354293024709932,414.5139855520307,True,419.5125990604106,0.0,14-16,0.2602739726027397,21,nsga2,0.11712465686082829,0.2514599596186671,0.08654866051167731,0.19918348202574054,0.16361887219308657,low,0.04354293024709932,0.8828753431391717
5,combo_010,14.716521185392287,0.4811407498192102,2.7425406955233402,2.4762689670009195,A1,Si3,0.45526020075875806,0.5447397992412419,422.74243345767184,1.9473331815838324,0.11295605425274824,1.1859162251239443,0.04473979924124194,418.92566042176753,True,422.74243345767184,0.0,14-16,0.2602739726027397,21,nsga2,0.12044562545522844,0.5400606936359168,0.2588733411946914,0.5413193667849612,0.3371467502567874,low,0.04473979924124194,0.8795543745447716
6,combo_008,14.453722004052786,0.4610735794213507,2.8590245624301307,2.2614536399197354,A1,Si1,0.4427755410165304,0.5572244589834696,422.30555578177336,1.7361386601820576,0.13250519232693872,1.126487032003884,0.05722445898346962,418.9027240078165,True,422.30555578177336,0.0,14-16,0.2602739726027397,21,nsga2,0.15508697978775565,0.64114350034318,0.0752026996421904,0.599623989427583,0.351607631371244,low,0.05722445898346962,0.8449130202122443
7,combo_014,15.761992211259242,1.1512736866406676,1.998385520400965,1.6337840689202023,A2,Si3,0.39522690803809724,0.6047730919619028,426.62629421188916,1.6800335451236819,0.1249965757365883,1.2486832659343066,0.10477309196190276,423.33342846344675,True,426.62629421188916,0.0,14-16,0.2602739726027397,21,nsga2,0.2870208151538836,0.6679967655845902,0.145748644997304,0.479740058086474,0.4019670526916682,low,0.10477309196190276,0.7129791848461164
