TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
0,0,0,False,0.17743828922664306,0.8225617107733569,False,0.32256171077335694,0.1463072101466713,0_2_2_3,8.284315821,1.30919387,2.44928025,2.117453336,Si1,Si1,combo_002,29,295.2212764,264.155562,0.000197958,0.055266162,737.7324746,193.9,75.1,17.54165217165403,3.206582689212068,292.54343209400014
0,0,0,False,0.19856824703867915,0.8014317529613209,False,0.30143175296132085,0.33099491649571156,2_1_3_2,13.6320679,1.110261505,2.852016041,1.862728268,Si1,Si1,combo_002,30,369.2948155,266.9252848,-0.000331652,0.055277095,1063.710697,243.6,97.4,25.392838228625394,3.166483621964802,370.54012652299065
0,0,0,False,0.2050191846429925,0.7949808153570075,False,0.2949808153570075,0.24994871960255738,1_2_2_1,10.61171236,1.18867863,2.395181675,1.223864726,Si1,PU,combo_001,31,336.7054842,276.3865094,0.002305285,0.055413417,902.1725357,199.0,82.6,12.987300439862214,2.8471012720401054,332.357868387055
1,1,1,False,0.7984803742974691,0.2015196257025309,False,0.2984803742974691,0.22670006384809607,3_0_2_0,13.93041105,0.284025244,2.470151665,0.940041785,Si1,PU,combo_001,32,442.4741128,818.6851105,-0.00033911,0.049849207,1323.380419,116.000002,88.9,13.095168469225724,0.7015854293686312,425.1057193970955
0,0,1,True,0.8394898627293514,0.16051013727064856,False,0.33948986272935144,0.5246308643077623,1_3_0_1,11.61430567,1.62404046,1.108323693,1.174300953,Si1,PU,combo_001,33,329.2276296,269.6414186,0.001406038,0.05530835,877.4250328,201.2,82.2,13.638690216714304,1.7999625202086187,334.4633724922271
1,1,1,False,0.7532954354642811,0.24670456453571887,False,0.2532954354642811,0.26921061574289873,2_0_3_0,13.27087727,0.464010886,2.776493904,0.598844998,Si1,PU,combo_001,34,421.0187478,928.5368218,0.006129817,0.044199204,1264.151928,130.000002,89.2,7.9471984722113955,1.288323396368639,401.85895303453657
1,1,1,False,0.8139648762630713,0.18603512373692865,False,0.31396487626307135,0.20063982217416762,2_1_3_3,12.79683377,0.705286626,2.799850461,2.341415358,Si1,PU,combo_001,35,404.5587387,919.1675268,-0.02206473,0.033874023,1160.14062,186.000002,89.4,29.962703122851035,1.9746970849432348,395.55552274623864
1,1,1,False,0.80082017520715,0.19917982479285,False,0.30082017520715,0.23851553189456612,3_0_0_3,15.82692716,0.55731184,1.398974968,2.060263042,Si1,PU,combo_001,36,462.8736847,987.3450387,-0.000386523,0.044450174,1443.408852,155.000002,100.9,32.60763309617402,0.7796653135300212,460.80017693730593
0,0,0,False,0.13348070189681494,0.8665192981031851,False,0.36651929810318506,0.31654038585266203,3_2_2_3,15.06651883,1.144814182,2.063018875,2.082455944,Si1,PU,combo_001,37,407.3971594,278.5257284,0.000367513,0.055313475,1252.142729,245.3,101.3,31.375361692921423,2.361773265833685,409.5795910880415
1,1,1,False,0.7494599466527916,0.2505400533472084,False,0.2494599466527916,0.2408904021725892,1_0_0_3,11.91303259,0.256769386,1.244426833,2.357268805,Si1,PU,combo_001,38,559.6768134,1024.243014,0.000288676,0.005484841,1227.386257,82.000002,76.9,28.082220097355354,0.3195307138313345,415.6033562028703
1,1,1,False,0.5939600681670072,0.4060399318329928,True,0.0939600681670072,0.3299030981104658,2_1_1_1,13.85754825,0.947349707,1.769126778,1.392002383,Si1,PU,combo_001,39,406.3263741,903.9754196,-0.007083064,0.038113629,1253.07323,181.000002,93.7,19.28974018653748,1.675981734784154,400.74755571641487
0,0,0,False,0.2366111372718933,0.7633888627281067,False,0.2633888627281067,0.1463072101466713,0_2_2_2,8.685443808,1.434002473,2.286378668,1.956775987,Si1,PU,combo_001,40,298.0217802,265.5102865,0.000207986,0.055412138,753.0188722,185.0,75.1,16.99546787993224,3.2786726641264456,301.3645605628082
1,1,1,False,0.8602633279259635,0.1397366720740365,False,0.3602633279259635,0.25772340509369723,1_0_3_2,11.83859403,0.659655271,2.690850447,1.674570291,Si1,PU,combo_001,41,392.5068164,521.0378172,0.006023112,0.040440894,1114.562701,157.000002,84.3,19.824557849847963,1.7750336808362561,382.98673891040016
0,0,0,False,0.30194383727609875,0.6980561627239013,False,0.19805616272390125,0.3398717967077065,0_3_3_1,9.193361974,1.702184931,2.985372519,1.506754073,Si1,PU,combo_001,42,283.7439026,253.4625045,-0.000662052,0.0553355,721.0671154,204.6,77.7,13.85213559888782,5.081656115263311,285.8258754202398
