Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolingLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
6,15.62788384,ETI,1.495011786,2.942724915,25.27693942,1,126.8244739,113.9900419,126.4475168,760.8515418,-0.474283993,0.104483483,1391.878385,198.000001,108.9,
7,12.14630472,ETI,1.357842905,2.115175173,29.83356622,1,128.0785832,114.1515903,125.6284447,840.0146565,-0.479712556,0.103294181,1479.196497,182.100001,93.7,
8,12.07494215,ETI,1.361663973,2.302288853,7.118573977,1,132.0586961,121.3499763,130.7010799,793.3772521,-0.174374736,0.107582454,1526.376856,212.300001,86.4,
9,12.13595311,ETI,1.361262926,2.362726889,18.18874178,1,131.3576716,120.2581661,130.0824493,830.2160541,-0.172091297,0.107693034,1528.528468,208.300001,87.5,
10,12.59185609,ETI,1.382132972,2.562626584,13.86028228,1,130.9364199,119.5601804,129.8658147,623.4803496,-0.176662684,0.106991132,1514.566073,202.700001,88.9,
11,12.36629556,ETI,1.368437663,1.558795698,9.468403389,0,140.3975959,130.1026707,133.0435036,208.8978753,-0.506504406,0.112610656,1507.193845,234.8,87.8,
12,13.02041474,ETI,1.3990183,2.377978491,18.57607029,1,129.9206663,117.7910622,128.3106675,769.9252128,-0.49080289,0.107714325,1493.397664,206.400001,90.6,
13,12.15280707,ETI,1.371591319,2.931497965,9.4234641,1,130.6592668,118.5390181,129.8496661,619.1761245,-0.488635259,0.100356837,1520.145175,200.700001,87.7,
14,12.29325858,ETI,1.385713939,2.981748511,2.630740785,1,130.6176512,118.5064495,129.9621457,766.336285,-0.174450166,0.104996344,1503.879512,206.300001,88.3,
15,15.73127933,ETI,1.524448446,2.987761521,28.73998822,1,127.4990416,115.2932544,127.1728121,614.914187,-0.18331951,0.10460627,1362.283422,208.800001,111.7,
16,15.9614441,ETI,1.574564119,2.966912043,25.94699696,1,129.995056,119.5412592,129.9555132,521.1496251,-0.485229685,0.108778445,1317.316131,238.400001,114.9,
17,12.29976522,ETI,1.182859237,2.487023209,23.29556092,1,119.4571268,101.9543236,115.7944806,814.9455374,-0.450333561,0.096056188,1726.386738,130.100001,86,
18,11.9887383,ETI,1.247897227,2.586317145,4.699295842,1,123.0838271,106.5398492,120.3620565,526.6833352,-0.204579124,0.097256319,1684.091166,139.300001,81.4,
