Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
53,12.75205068,Si1,1.198319507,PU,2.429543852,0.647733729,0,243.5700575,241.5717466,-0.005264071,0.052210705,1145.79268,,
54,15.9985666,Si1,1.397432909,PU,1.611685025,0.873635037,0,258.633114,255.5632158,-0.003517328,0.051993736,1176.469471,,
56,17.11016438,Si1,1.832971224,PU,2.994408202,2.147021007,0,247.8322433,242.9064207,-0.005441852,0.052153448,1090.959253,,
1,19.48887372,Si1,1.07280418,Si1,1.913047099,1.421626858,1,312.9253463,657.8628443,-0.005258789,0.020557085,1294.142068,,
3,16.15998954,Si1,1.05771777,PU,1.224707966,1.834446506,1,324.0583934,821.0070479,-0.005133047,0.014609441,1299.435835,,
4,17.87451634,Si1,1.032736554,Si1,2.460078924,1.5422751,0,312.1300466,333.4837263,-4.38E-04,0.052025067,1256.91049,,
5,19.61601396,Si1,1.051327636,PU,1.167887765,1.375243117,1,308.73783,795.5817597,-0.002406251,0.036093769,1357.711572,,
6,19.6863917,Si1,1.020742006,PU,2.361074252,1.303241372,1,306.5708888,874.8059083,-0.002415049,0.024633497,1317.211614,,
7,15.66787669,Si1,1.058210344,Si1,2.989506512,1.93405104,0,275.8525072,288.8091117,-0.006503298,0.05221319,1198.014325,,
8,16.45363045,Si1,1.008649694,Si1,1.280895259,1.707004694,1,311.079588,560.5963889,-0.007641624,0.025338017,1301.130906,,
9,16.44594853,Si1,1.039418783,PU,2.638396516,1.751894624,0,294.7007925,311.8123484,-0.004421986,0.051927918,1249.818135,,
10,12.17450815,Si1,0.954668269,Si1,2.0137605,2.448021916,1,271.6831572,886.138147,-0.003837766,0.046348402,1216.264224,,
11,15.91340396,Si1,1.072032294,PU,1.739697257,1.910389502,1,316.412194,581.1649795,-0.02060031,0.026041902,1268.90539,,
12,15.25978249,Si1,1.001313411,PU,2.469103847,1.867260402,0,302.7470088,327.0618502,-0.003351101,0.052264119,1250.319196,,
14,19.79022819,Si1,1.187194114,Si1,2.187146424,2.42816157,1,314.3158915,673.0878788,-0.002428029,0.021852259,1284.530613,,
15,17.50806028,Si1,1.183185973,Si1,1.238193894,2.447746755,1,327.4362129,664.1668643,-0.002999861,0.010713787,1273.627847,,
16,19.36472206,Si1,1.07212326,PU,2.7627171,1.832657491,1,311.2066824,625.5957549,-0.00237484,0.024223368,1290.580156,,
17,19.42079795,Si1,0.871383295,Si1,1.900512871,2.492395438,1,312.7725947,889.6352337,-0.00524007,0.03096405,1379.422525,,
2,18.27718379,Si1,1.056774647,PU,2.239840708,1.527581188,1,337.4758857,656.3098357,-0.004030015,0.011194488,1288.916264,Itr_2,
13,12.53581065,Si1,0.885879093,Si1,1.909329157,2.181687159,1,279.3953433,532.026863,-0.004563679,0.037422166,1244.686509,,
18,17.12711344,Si1,1.47384866,PU,1.802604379,2.379817607,0,278.7939425,289.7898944,-0.004609305,0.052179721,1189.853694,,
1,16.17235204,Si1,1.248610739,PU,2.155314859,2.471342702,0,288.9860162,305.9819531,-0.007508017,0.052280481,1210.333765,,
2,18.57622385,Si1,0.640512226,PU,2.977544632,0.538406884,1,301.6187938,574.3403537,-0.002276277,0.03141263,1385.989332,,
3,12.22053439,Si1,0.396077789,PU,2.89705266,0.510498624,0,283.1548566,313.2823058,-0.004445449,0.052279966,1357.782011,,
4,19.81188328,Si1,0.745306681,PU,2.673067517,0.595807313,1,303.0506776,566.3449226,-0.002430735,0.037433319,1383.566274,,
5,17.5650182,Si1,1.196808624,PU,2.523332595,2.131832183,0,303.9910284,320.0344705,-0.005589682,0.05199853,1232.796751,,
6,18.54455506,Si1,0.637683672,PU,2.687317617,0.506857123,1,302.8630017,865.765524,-0.00227232,0.026813376,1394.482982,,
7,16.05829916,Si1,1.138745852,PU,2.508241168,2.24787655,0,290.5135992,307.8111802,-0.004315382,0.052092293,1224.644834,,
8,12.14723223,Si1,0.440421288,PU,2.820875121,0.67564776,0,281.5730928,309.9305221,-0.004417961,0.052118706,1347.673605,,
9,19.95605371,Si1,1.151498521,Si1,1.281811962,1.052992431,1,304.1286888,620.2596633,-0.002448756,0.031833831,1309.833857,,
10,17.09913566,Si1,1.264123165,PU,2.220732218,2.304868542,0,295.6827209,310.872586,-0.004601613,0.052136367,1218.961285,,
11,15.54081746,Si1,1.176907776,PU,2.11198619,2.282812122,0,284.7640749,302.5580625,-0.003414334,0.05199719,1219.306219,,
12,14.27493107,Si1,0.547106756,PU,2.947142333,0.77741148,0,291.2163045,316.6709275,-0.002434063,0.052279244,1335.154184,,
13,14.93016924,Si1,0.620419594,PU,2.205178207,0.837707523,1,324.615427,861.4573987,-0.017112899,0.009830814,1350.378556,,
14,19.58795038,Si1,0.887607342,PU,1.10785091,0.507494461,1,305.496535,614.048841,-0.002402744,0.037963351,1415.682124,,
15,17.57335973,Si1,0.645840553,PU,2.773317792,0.599606618,1,307.018082,838.0651699,-0.00215092,0.018497912,1371.555737,,
16,18.31462741,Si1,1.195628978,PU,2.96759448,2.46928919,1,350.0964385,682.2225619,-0.004935873,-0.005833305,1243.366911,,
17,19.61684961,Si1,0.267335985,Si1,2.771518957,2.498822917,1,319.4298072,588.8355179,-0.002406356,0.033207716,1527.551529,,
18,13.13295148,Si1,1.677046817,PU,2.093590047,0.693204775,0,227.5587315,220.7458592,-0.001595869,0.052053074,1051.920945,,
1,12.90802114,Si1,0.79772554,PU,1.223181419,1.577135401,1,296.8334466,624.7019211,-0.004703258,0.033549904,1322.800864,Itr_3,
2,12.80239734,Si1,0.832028681,PU,1.295966415,1.739296109,1,294.7593109,571.7534879,-0.00590729,0.03140191,1309.726582,,
3,19.90315838,Si1,1.314367452,PU,2.129048787,1.753453105,1,335.5699047,560.9345032,-0.007326435,0.015141299,1273.186804,,
4,19.91349522,Si1,1.187382979,Si1,2.612928355,1.554368796,0,307.4596053,326.2104972,-0.003420812,0.052100438,1273.899542,,
5,14.0274596,Si1,0.913271576,PU,1.12656921,1.496806287,1,303.4624774,558.5837704,-0.009904558,0.031079821,1305.178974,,
6,18.64765496,Si1,1.27874759,Si1,2.800729678,2.485712846,0,291.1502074,302.7673906,-0.002285206,0.052251351,1223.277252,,
7,19.84890428,Si1,1.352357827,Si1,1.881703938,1.775737472,1,353.6053424,670.1983955,-4.87E-04,0.003409507,1259.875839,,
8,19.84008977,Si1,1.446031707,Si1,1.621792601,1.960476204,1,345.041441,653.5259249,0.007302784,-0.014118715,1249.179793,,
9,17.07364047,Si1,1.145984085,Si1,2.573793667,2.462497708,0,290.3166018,304.8604457,-0.004594601,0.052096842,1213.161328,,
1,15.97154505,Si1,1.04136022,PU,1.254262947,1.116843133,0,291.0075071,311.9378795,-0.007412634,0.051949149,1290.586168,,
2,14.35960742,Si1,0.909806341,PU,1.342507281,1.341048529,0,296.554949,323.4905883,-0.002448882,0.052088179,1299.395551,,
3,17.1176548,Si1,1.096005317,Si1,2.794235167,2.363576848,0,290.5011744,304.9554126,-4.19E-04,0.052165058,1220.37769,,
4,16.92055002,Si1,1.000354075,Si1,2.631661272,2.052701045,0,320.7654914,349.1884674,-0.004552501,0.052273416,1246.543383,,
5,19.90149919,Si1,0.39142981,PU,1.323571815,2.497167522,1,324.3294751,591.0890433,-0.001465163,0.040536162,1562.727422,,
6,17.85411116,Si1,0.929323532,PU,2.920443431,1.645622395,1,329.1514949,876.1722236,-0.003934825,0.010055663,1294.258004,,
7,12.2294143,Si1,0.993095877,Si1,1.293354442,2.123307312,0,273.391241,295.8873144,-0.004448779,0.052299502,1244.316129,,
8,19.79327703,Si1,0.321795213,Si1,2.068032849,0.504972088,1,313.5688494,827.2329136,-0.001457046,0.032540694,1523.379285,,
9,15.66733154,Si1,1.564391472,PU,1.932223696,2.32072721,0,261.6812812,259.5909798,-0.007268132,0.052212264,1139.121964,,
1,13.85616457,Si1,0.395216214,Si1,2.933516382,0.550138546,0,283.2960485,304.6450813,-0.004384302,0.052168558,1337.313017,Itr_4,
2,16.67739213,Si1,1.485083205,PU,1.105084208,2.473067167,0,285.4609381,299.5976133,-0.004485632,0.052298224,1202.448241,,
3,15.82813452,Si1,0.771647732,Si1,2.948949994,1.359912897,0,288.315503,305.8574442,-0.00347898,0.052099076,1279.554774,,
4,15.4863845,Si1,1.298617135,PU,1.183369978,2.414526019,0,287.5673358,306.1574986,-0.003402087,0.052282664,1222.24615,,
