A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type
16.31995364,0.373010548,1.833024466,1.594236867,Si1,Si1
16.50722262,0.314779463,1.139473486,2.473823173,Si1,Si1
16.23683363,0.72513385,2.831019104,1.809821883,Si1,Si1
14.2244234,0.304599118,1.276279387,0.774940968,Si2,PU
12.948586615,0.572649559,2.77705928,1.879286511,Si2,PU
11.855779275,0.260036215,1.708220132,2.054597458,Si2,PU
19.01455131,0.254277737,2.427243064,1.072675257,Si2,PU
18.54963564,2.003330789,2.583689628,2.318040757,Si2,PU
17.54332908,0.490845892,1.143211399,2.420508113,Si2,PU
14.841638370000002,1.773546878,2.245890145,1.551510056,Si2,PU
16.55650291,0.828912908,1.501871034,1.160284803,Si2,PU
13.4116192,1.012128031,1.557606798,2.311484935,Si2,PU
14.95869325,0.298438762,2.998956581,2.44001307,Si2,PU
12.338295103,1.669358447,2.990418766,2.423722522,Si2,Si2
12.446117339,0.361006836,1.298058883,0.736785741,Si2,Si2
17.36627696,1.465677558,2.952419618,2.386349787,Si2,Si2
15.528214129999999,1.778361247,2.267739574,0.789856393,Si2,Si2
18.4436584,0.555878138,1.768984476,1.828789635,Si2,Si2
16.41918765,0.430191822,2.74830114,1.224349687,Si2,Si2
13.809820160000001,0.273127681,2.869401634,2.182236963,Si2,Si2
13.8600977,0.472286762,2.075385461,2.219935169,Si2,Si2
14.71949112,2.070768931,2.204851272,2.135715952,Si2,Si2
11.684104513000001,2.239274545,2.801671295,0.631867836,Si2,Si2
15.037163320000001,1.424746312,2.668224334,2.078645547,Si3,PU
17.15889953,1.05624275,2.162068925,1.515823215,Si3,PU
13.27453349,0.695796592,1.574776949,2.456949375,Si3,PU
18.87589493,1.250810094,2.772691804,2.486952382,Si3,PU
16.01380849,0.353741239,2.381566852,1.0396576,Si3,PU
14.86374048,2.143403329,1.726923981,1.798781154,Si3,PU
17.448494880000002,0.749027079,1.100360393,2.121244762,Si3,PU
12.850298722000002,1.372214926,1.922553585,0.877608982,Si3,PU
11.536191355,2.020053983,2.969490519,2.408600448,Si3,PU
15.182138470000002,0.308510374,2.729364383,2.278169762,Si3,PU
18.31664968,2.11831754,1.779040768,1.334232366,Si3,Si3
15.56747278,1.510747336,2.192115861,2.203831889,Si3,Si3
16.67577167,0.286784561,1.957538219,0.863500976,Si3,Si3
13.652413,0.990541388,2.932191441,2.449053935,Si3,Si3
13.116157265000002,0.280684413,2.542523717,1.373135591,Si3,Si3
12.229494802000001,1.280287533,2.362152998,1.286003305,Si3,Si3
14.484362780000001,1.143465421,2.94439274,1.429404768,Si3,Si3
15.997355460000001,0.392800991,2.404925715,2.355441441,Si3,Si3
18.270840670000002,1.8949633,2.918199277,2.452109946,Si3,Si3
13.519173930000001,0.340038328,1.214918418,1.90381655,Si3,Si3
15.733820479999999,0.439714663,2.894862314,0.817063793,A1,PU
16.94771502,2.200820337,2.957352237,1.413701521,A1,PU
13.041409570999999,0.295212534,1.410684476,2.497498194,A1,PU
13.575841749999999,0.637133653,2.886602691,1.843221049,A1,PU
11.616658988000001,2.444229612,2.652490647,2.108983389,A1,PU
13.008567501000002,0.686140613,2.021095745,1.477222205,A1,PU
17.285556240000002,0.611691248,2.285151865,1.320040126,A1,PU
18.94725747,0.45436423,1.244248815,0.504218147,A1,PU
12.091448732,0.408443259,2.533371247,1.609394397,A1,Si1
