pareto_rank_in_bin,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
6,combo_006,11.442546890362813,0.7675743708331316,2.9477278964571534,1.8698649683192334,Si3,Si3,0.29709903295520235,0.7029009670447977,376.854708567446,0.9863719177649366,0.045382353364936776,0.9247676782391014,0.20290096704479765,374.9214196086267,True,376.854708567446,0.0,10-12,0.273972602739726,22,nsga2,0.5592975583098978,1.0,0.8937506944043492,0.7975262355040011,0.7941332196149342,high,0.20290096704479765,0.4407024416901022
1,combo_007,12.676330212382446,0.8456027362033944,1.762747771653947,1.9720473965585168,A1,PU,0.4981056980800913,0.5018943019199087,393.8221745689815,1.5289797660028632,0.07849529250678314,1.3705830508181336,0.001894301919908692,390.8253742276159,True,393.8221745689815,0.0,12-14,0.2191780821917808,17,nsga2,0.0015616443613155867,0.7402947582489177,0.582643644339315,0.36014696612727637,0.39318577678809025,low,0.001894301919908692,0.9984383556386844
2,combo_002,13.416692227602692,0.8736811068528845,1.9109810168253092,1.9813610758691642,Si1,Si1,0.47754498898124353,0.5224550110187565,400.5758962051727,1.5704002437515474,0.05119082326996814,1.002099161558131,0.022455011018756466,397.49791172741965,True,400.5758962051727,0.0,12-14,0.2191780821917808,17,nsga2,0.05861172214630778,0.7204699156446313,0.8391781924043025,0.721658085246577,0.5127394287124442,medium,0.022455011018756466,0.9413882778536922
3,combo_007,12.325496813847405,0.5069087961433858,2.9965212238956593,1.5432427358890328,A1,PU,0.47555351505342713,0.5244464849465729,387.5277059343684,1.4092436575307175,0.09617992207252656,1.017425706163641,0.024446484946572866,384.76558836560815,True,387.5277059343684,0.0,12-14,0.2191780821917808,17,nsga2,0.06413749180446984,0.7976033561582077,0.41649068183353666,0.7066215627443402,0.4510204997573851,medium,0.024446484946572866,0.9358625081955302
4,combo_005,13.987660352751664,0.7498994301835493,2.3766551070824673,2.228368702066292,Si3,PU,0.39313542974221605,0.606864570257784,415.4555543073246,1.3024517067067092,0.03407361963705511,1.2527129631878011,0.10686457025778395,412.90274896217943,True,415.4555543073246,0.0,12-14,0.2191780821917808,17,nsga2,0.2928240684828109,0.8487165671002979,1.0,0.4757866142418915,0.6284713862353568,medium,0.10686457025778395,0.707175931517189
5,combo_006,12.01512348609565,0.6879239822797304,2.814890969254624,2.4846139855178855,Si3,Si3,0.3647579072013514,0.6352420927986486,390.7710462055005,1.250023777474737,0.07160964054862587,0.839221632815515,0.13524209279864863,388.32099960165004,True,390.7710462055005,0.0,12-14,0.2191780821917808,17,nsga2,0.3715635643104341,0.87380984225272,0.6473366291359943,0.8814535048329729,0.6538755517366127,medium,0.13524209279864863,0.628436435689566
6,combo_008,13.275137940278773,0.7162110059391646,2.945916316341159,1.987655573544609,A1,Si1,0.13827094621899505,0.861729053781005,394.841816514347,1.0343303641708597,0.1405094562242504,0.722896861354953,0.36172905378100495,392.8145290005721,True,394.841816514347,0.0,12-14,0.2191780821917808,17,nsga2,1.0,0.9770459274440955,0.0,0.9955770785839334,0.7924503400208186,high,0.36172905378100495,0.0
1,combo_003,14.248039313810127,0.7407568540581062,2.6629800584620322,2.3082340082718114,Si2,PU,0.47896167129920286,0.5210383287007971,407.46483548372623,2.0083405388372078,0.04840951144893728,1.4085119205772856,0.021038328700797138,403.5284880276053,True,407.46483548372623,0.0,14-16,0.2602739726027397,21,nsga2,0.054680834546680594,0.5108610967211529,0.8653095397983009,0.3229358191729349,0.39389890194328453,low,0.021038328700797138,0.9453191654533194
2,combo_006,15.710886241961033,1.0602077959358047,1.682490328666646,0.6944278014137748,Si3,Si3,0.4670226033374547,0.5329773966625453,421.449419897788,2.693068792128599,0.09649754198320985,1.6014021457604326,0.03297739666254529,416.1710050652159,True,421.449419897788,0.0,14-16,0.2602739726027397,21,nsga2,0.0878083279917491,0.18313359124492912,0.4135065373868202,0.13369562928791534,0.18842864404114226,low,0.03297739666254529,0.9121916720082509
3,combo_002,15.549175311971442,1.0533433147396816,1.6890625910728383,0.9020001200004348,Si1,Si1,0.4593624397854086,0.5406375602145914,412.1813804058952,2.6709051667265897,0.11224204278122829,1.6612228132920013,0.04063756021459142,406.9464062791111,True,412.1813804058952,0.0,14-16,0.2602739726027397,21,nsga2,0.10906308746473266,0.1937416384963675,0.26558172838585836,0.07500694005042796,0.16066195884630252,low,0.04063756021459142,0.8909369125352673
