lexicographic_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_001,11.597155028177363,0.8498016300151127,2.273273227676029,1.0934008871751546,Si1,PU,0.4647387481220733,0.5352612518779267,366.6368138290424,1.7328187207150525,0.11225715524923474,1.0550791200483463,0.035261251877926725,363.2404891364409,True,366.6368138290424,0.0,10-12,0.273972602739726,22,nsga2,0.26285084153803207,0.7344628893199565,0.25166254708956826,0.7166616646157087,0.47016842044456814,medium,0.035261251877926725,0.7371491584619679
2,combo_005,10.897470440384522,0.8879598521978622,2.28876342666009,1.4912130784070825,Si3,PU,0.4626357605413318,0.5373642394586682,369.9263520352997,1.2734775114078845,0.0763010789028422,1.366018275606623,0.03736423945866818,367.43033611294027,True,369.9263520352997,0.0,10-12,0.273972602739726,22,nsga2,0.2791424984789138,0.9856918184889719,0.582111340265263,0.39020541477569404,0.5683605002837182,medium,0.03736423945866818,0.7208575015210862
3,combo_002,11.431232619974441,0.807249318664637,2.960920995086509,0.501163570470331,Si1,Si1,0.455968609604426,0.544031390395574,355.74123914628495,2.9868268300097904,0.04091861277954468,1.7376764755157421,0.04403139039557402,349.88705855946574,True,355.74123914628495,0.0,10-12,0.273972602739726,22,nsga2,0.330792321250978,0.048604298616624075,0.9072884568500829,0.0,0.3118162933928461,low,0.04403139039557402,0.669207678749022
4,combo_014,11.488512267503786,1.2439422159351472,1.9048927945620429,1.1936448557674644,A2,Si3,0.451598019058153,0.548401980941847,367.90825075187337,1.2545882828312003,0.06942006192933133,1.0915413188250596,0.048401980941847,365.44925771752423,True,367.90825075187337,0.0,10-12,0.273972602739726,22,nsga2,0.3646508958146165,0.9960229635549827,0.6453502691409458,0.6783798578352305,0.6572617351050842,medium,0.048401980941847,0.6353491041853835
5,combo_002,11.8025788139247,1.118239867595847,1.9783853261133064,0.7162361727055235,Si1,Si1,0.45102959573584656,0.5489704042641534,357.9406536509917,2.2873822061834326,0.08568180125845602,1.597533611080223,0.048970404264153444,353.45738452687215,True,357.9406536509917,0.0,10-12,0.273972602739726,22,nsga2,0.3690544205187176,0.4311537418115058,0.49589925328264495,0.1471365479311032,0.37976550257119734,low,0.048970404264153444,0.6309455794812824
6,combo_013,11.595932594445179,1.0403970375870002,2.926955262920404,0.7798849034188229,A2,Si2,0.42241957838930944,0.5775804216106906,366.93174022658616,2.0844190101294093,0.031558739707484476,1.623206114461623,0.07758042161069056,362.84627896673254,True,366.93174022658616,0.0,10-12,0.273972602739726,22,nsga2,0.5906936693430606,0.5421610395940901,0.9933089316967576,0.12018288504213914,0.5860803152439706,medium,0.07758042161069056,0.40930633065693944
7,combo_014,11.399264073624943,1.1615480961390092,2.0020859669663533,2.3573773404003493,A2,Si3,0.38696862719362457,0.6130313728063754,374.6769385130584,1.3381293819561455,0.05686934571008454,1.3065475142821046,0.11303137280637543,372.05420492442437,True,374.6769385130584,0.0,10-12,0.273972602739726,22,nsga2,0.8653290216376325,0.9503315680313391,0.7606956974959733,0.4526440024224472,0.8080003678451347,high,0.11303137280637543,0.13467097836236752
8,combo_001,10.171652985440522,0.8743980636391304,2.6771224076105895,0.8024482123114574,Si1,PU,0.37759571544805226,0.6224042845519477,340.94639190218874,1.9951894483048307,0.0834176794357332,1.2739459548123808,0.12240428455194774,337.0358205835113,True,340.94639190218874,0.0,10-12,0.273972602739726,22,nsga2,0.9379401317052379,0.5909636438742969,0.5167073168965319,0.48687250871755583,0.6819404789460621,high,0.12240428455194774,0.062059868294762066
9,combo_011,10.23530429087495,1.5985078385954092,1.1311177981372855,1.7419325984843033,A2,PU,0.3762180917468072,0.6237819082531928,345.851936504101,2.0887277194132308,0.04520473746863169,1.354679715689812,0.1237819082531928,341.75803017405104,True,345.851936504101,0.0,10-12,0.273972602739726,22,nsga2,0.9486124594640158,0.5398044637033534,0.867897486676791,0.402109813700244,0.7278516693138064,high,0.1237819082531928,0.051387540535984155
10,combo_013,10.546067067815223,1.2881092842168513,1.8748083775161468,1.9092591514770034,A2,Si2,0.36958479717497994,0.6304152028250201,358.590786373798,1.583949623335457,0.05292257861857965,1.0426443106488918,0.13041520282502006,355.4862451120605,True,358.590786373798,0.0,10-12,0.273972602739726,22,nsga2,1.0,0.8158843319495979,0.7969678538282976,0.729717020210062,0.8636164233820481,high,0.13041520282502006,0.0
1,combo_007,12.676330212382446,0.8456027362033944,1.762747771653947,1.9720473965585168,A1,PU,0.4981056980800913,0.5018943019199087,393.8221745689815,1.5289797660028632,0.07849529250678314,1.3705830508181336,0.001894301919908692,390.8253742276159,True,393.8221745689815,0.0,12-14,0.2191780821917808,17,nsga2,0.004360060680477603,0.845949168533868,0.5619457573911261,0.3854128392178271,0.4255118491592268,low,0.001894301919908692,0.9956399393195224
2,combo_008,12.493336209328943,1.0244160129003312,1.5818623407678598,1.7812270051024848,A1,Si1,0.49394596453753614,0.5060540354624639,384.6167592286071,1.6756100987850395,0.13665266087684927,1.5511840583079248,0.006054035462463858,381.33256343498846,True,384.6167592286071,0.0,12-14,0.2191780821917808,17,nsga2,0.03658514487089113,0.7657521804514673,0.027459402233221963,0.1957991267968594,0.2773922043064254,low,0.006054035462463858,0.9634148551291088
3,combo_003,12.155909928114509,0.8497200731946946,2.5669535835020643,2.006973571865216,Si2,PU,0.484500905286648,0.515499094713352,378.2552073947495,1.7968290234001099,0.06238271553253462,1.197251801231829,0.01549909471335198,374.73342250888527,True,378.2552073947495,0.0,12-14,0.2191780821917808,17,nsga2,0.10975517521767922,0.699453533587195,0.7100259195533445,0.5673940040487173,0.47536465592032273,medium,0.01549909471335198,0.8902448247823208
4,combo_011,12.995409977507105,1.0166469000267155,2.6748679368214154,0.7906380263224608,A2,PU,0.48437906719828305,0.515620932801717,386.02140572260157,1.873773464557932,0.13293728440395086,1.3570603134958683,0.015620932801716947,382.34880973206805,True,386.02140572260157,0.0,12-14,0.2191780821917808,17,nsga2,0.11069904400518533,0.6573700689079759,0.061604998650218845,0.3996104146433863,0.30821824800075937,low,0.015620932801716947,0.8893009559948146
5,combo_002,13.416692227602692,0.8736811068528845,1.9109810168253092,1.9813610758691642,Si1,Si1,0.47754498898124353,0.5224550110187565,400.5758962051727,1.5704002437515474,0.05119082326996814,1.002099161558131,0.022455011018756466,397.49791172741965,True,400.5758962051727,0.0,12-14,0.2191780821917808,17,nsga2,0.1636420375058439,0.8232949366478013,0.8128832851871378,0.7722855326819282,0.5826826810611025,medium,0.022455011018756466,0.8363579624941561
