sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,CellD_x_Resin
12,boundary,hybrid,15.710342531342217,1.585893212627557,2.5164172807696445,23.544837112357083,ETI,combo_001,0.4796009,0.5203991,0.9592018,0.26128805,0.7010139604360894,136.94541576258703,1.5284386967514503,0.0,0.2256628858723528,0.9999997769999998,0.8269474360268947,0.42164921761389174,0.32843152572048484,0.2086237667315396,136.94541576258703,1.5284386967514503,39.53377743267988
13,boundary,hybrid,14.834886961697155,1.510723861398544,1.8012452208468939,0.8172879836344196,ETI,combo_001,0.45496115,0.5450388,0.9099223,0.35745442,0.9590202884037925,137.9156026369232,1.5289449284097176,0.0,0.19471069992283555,0.9999997769999998,0.8260975641894206,0.43410581151203465,0.4254917573226852,0.058513322312078425,137.9156026369232,1.5289449284097176,26.721269241560897
14,boundary,hybrid,12.358198371931598,1.4508014912079334,2.6760646064569986,23.623384888204548,ETI,combo_001,0.50940716,0.49059284,0.9811857,0.2322984,0.6232371750152178,142.56619920728704,1.5078074430540365,0.0,0.16574622684727328,0.9999997769999998,0.823524870718523,0.5051968919465338,0.28337565233986906,0.46469311368185556,142.56619920728704,1.5078074430540365,33.07133726270065
15,notp_high_tmax,hybrid,13.00531728623506,1.418612640371028,2.7476770256556025,6.476775555092721,ETI,combo_001,0.40402538,0.5959746,0.80805075,0.19178697,0.5145484008932492,144.4443295524658,1.5243965329772,0.0,0.1801703374373318,0.9999997769999998,0.683970685291494,0.5371162521145382,0.24436242257050395,0.40032987146406107,144.4443295524658,1.5243965329772,35.734411518749745
16,notp_high_tmax,hybrid,12.376883184026806,1.413830425250364,2.9082241022204345,0.4547136150421724,ETI,combo_001,0.38129544,0.61870456,0.7625909,0.17141765,0.4598992172276286,144.83270555117997,1.5401939432775884,0.12469704945882175,0.05876452636782821,0.9999997769999998,0.6274492849546788,0.5315719516630034,0.19972376377913903,0.565275991307183,144.83270555117997,1.5401939432775884,35.99474998615355
17,notp_high_tmax,hybrid,14.185858169814658,1.4742840730036773,2.322529007889867,0.06481892384761878,ETI,combo_001,0.33562225,0.66437775,0.6712445,0.20902261,0.560790171604806,141.11176482861174,1.5172889888990082,0.4291849931081137,0.20212395550730639,0.9999997769999998,0.5948635057595071,0.48576394745820756,0.26657399758832573,0.26580854877590515,141.11176482861174,1.5172889888990082,32.947067101206
18,notp_high_tmax,hybrid,14.024502574131706,1.4660230986017329,2.0829962685989223,18.737405937438094,ETI,combo_001,0.13607484,0.86392516,0.27214968,0.07100354,0.19049655860486311,140.73782573128008,1.5039270932748505,0.24049894014994314,0.10250506854835649,0.9999997769999998,0.23827203335477212,0.46949491666169935,0.09726219137460504,0.25831700268907076,140.73782573128008,1.5039270932748505,29.212986530872325
19,misclass_repair,hybrid,12.70290739388498,1.476956979272115,2.9271194341702094,1.3915109669149262,ETI,combo_001,0.03550097,0.96449906,0.07100195,0.04474916,0.12005824917378292,141.76419886538426,1.5218618568688607,0.0,0.015596425806205856,0.9999997769999998,0.07129619055565235,0.4776701373740418,0.0534105570219059,0.7128532256761966,141.76419886538426,1.5218618568688607,37.18292710310517
20,misclass_repair,hybrid,13.1235657458065,1.4812215359783885,2.881520607171309,1.7379427956553364,ETI,combo_001,0.03929711,0.9607029,0.07859421,0.04626499,0.12412509901691901,141.54384775221467,1.5167390495365924,0.0,0.03877378699303429,0.9999997769999998,0.080346739591542,0.4763366606989,0.05918564107654313,0.7121458612305847,141.54384775221467,1.5167390495365924,37.815825136108934
21,uncertainty_sparse,hybrid,10.044745438677744,1.204069055406563,1.444456129580635,1.2115796253687128,ETI,combo_001,0.6520554,0.34794462,0.69588923,0.33119974,0.8885811694067045,147.75414730632247,2.1190686542352943,0.0,0.3534910680204702,0.9999997769999998,0.6811372472159398,0.6215995360450088,0.4851870911416821,0.03135076099470989,147.75414730632247,2.1190686542352943,14.509194118975191
22,random_check,hybrid,15.896150160891835,2.75477349985487,2.8240083582775446,24.025367110536024,ETI,combo_001,1.2071964e-10,1.0,0.0,2.4080068e-10,6.46048083233413e-10,120.38313806717801,2.694539052719744,0.0,0.5948572628581048,0.9999997769999998,0.07584430111131558,0.22100676053516802,0.23274938444586543,0.018193166114072314,120.38313806717801,2.694539052719744,44.89086091879348
