discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
combo_011,15.62434850328672,1.3590494265054238,1.4304654290056438,2.4817364724091684,A2,PU,0.3360273589686926,0.6639726410313074,424.4878999541881,2.5420447248253386,0.05997476950933743,1.5841517378561725,0.16397264103130738,419.50549229353044,True,424.4878999541881,14-16,0.2602739726027397,21,0.6636493484384913,0.5914654240277587,0.643524258129408,0.3335244362858564,0.5884504162305596,medium
combo_010,15.359180939068896,0.571467614682789,2.628151950625954,1.7778544969541004,A1,Si3,0.49319626296018626,0.5068037370398137,424.25970131958985,2.0585294362316047,0.1404951434269685,1.2432619227226285,0.00680373703981374,420.2249836245759,True,424.25970131958985,14-16,0.2602739726027397,21,0.5058119863661269,0.6893726174745256,0.15472255706543947,0.49015616387070016,0.48831391646419503,medium
combo_013,15.9784497800408,1.567392949292734,1.1691928162385063,2.4568054789697773,A2,Si2,0.27413671677140883,0.7258632832285912,423.3428084295075,2.517378187464213,0.10528702631136619,1.1902521569662285,0.22586328322859117,418.40874718207766,True,423.3428084295075,14-16,0.2602739726027397,21,0.7258032189134839,0.5964601604963853,0.3684546437416727,0.5145130405525105,0.583837059599846,medium
combo_013,15.996807996076086,1.4210106297947882,1.4910326400686242,1.3342148543384373,A2,Si2,0.3732665400995927,0.6267334599004073,423.1891928391994,2.398287237274675,0.08274686794288272,1.0402248514945092,0.1267334599004073,418.488549854141,True,423.1891928391994,14-16,0.2602739726027397,21,0.6262517846318851,0.620574931989709,0.5052854508618256,0.5834474439805761,0.5939348109875241,medium
combo_010,15.35032311543535,0.7096328359753888,2.451168788183756,2.4523771335905526,A1,Si3,0.2779731339530258,0.7220268660469742,423.14889954490724,1.6750636050463215,0.10978272590301306,0.8963359203435329,0.2220268660469742,419.86577487901644,True,423.14889954490724,14-16,0.2602739726027397,21,0.7219504849923496,0.7670207584945887,0.3411633446461476,0.6495613930221014,0.6484557751782437,medium
combo_010,14.716521185392287,0.4811407498192102,2.7425406955233402,2.4762689670009195,A1,Si3,0.45526020075875806,0.5447397992412419,422.74243345767184,1.9473331815838324,0.11295605425274824,1.1859162251239443,0.04473979924124194,418.92566042176753,True,422.74243345767184,14-16,0.2602739726027397,21,0.5439093951615119,0.7118887890851879,0.3218995456855044,0.516505310385744,0.545790630727048,medium
combo_011,15.521383972612256,1.2483737698685404,1.8563589079754297,1.9418691620829869,A2,PU,0.3010794104135357,0.6989205895864643,422.25191826116605,1.7177009567610737,0.09220059335218554,1.3583193342007847,0.1989205895864643,418.88522438591434,True,422.25191826116605,14-16,0.2602739726027397,21,0.6987459347841288,0.7583871050385931,0.44789628540432325,0.43728969402852014,0.6272499198711656,medium
combo_010,15.316752431453745,0.747331023032018,2.3720200403680525,2.4761258685730088,A1,Si3,0.2594622526038961,0.7405377473961039,422.21440724516754,1.5983048654222167,0.10808279314340954,0.8697270048357014,0.2405377473961039,419.08172970894,True,422.21440724516754,14-16,0.2602739726027397,21,0.7405400953260788,0.7825636646785167,0.35148284496837134,0.661787632176586,0.6635228465878448,medium
combo_006,14.781849589628166,1.0862811604239662,1.5082765280111121,2.4436349369656454,Si3,Si3,0.35397554658851504,0.646024453411485,421.5275937914007,2.428858441785409,0.0839018131754463,1.73136199181834,0.14602445341148496,416.7670312455013,True,421.5275937914007,14-16,0.2602739726027397,21,0.6456248250375648,0.6143845572393295,0.4982743160788413,0.2658844090023631,0.5498215805010692,medium
combo_014,15.78279562021761,1.2060787917380709,2.405044331672314,2.236236899433147,A2,Si3,0.1755604118939118,0.8244395881060882,421.48311736812576,1.602183415880068,0.07437367338950923,1.268194813608387,0.3244395881060882,418.3428378730008,True,421.48311736812576,14-16,0.2602739726027397,21,0.8247987805644538,0.7817782955310916,0.5561152165707541,0.4787000229132743,0.7062411086080284,high
