cell_d_bin_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
10,combo_002,10.954253889749799,0.6483732951341838,2.5895464517333457,2.1136447059660455,Si1,Si1,0.4516528971553271,0.5483471028446729,375.5710245174823,1.1584982023549129,0.04777723740209297,1.0327593930143124,0.04834710284467292,373.30036804086666,True,375.5710245174823,10-12,0.273972602739726,22,0.5475320410571053,0.871620282030462,0.7175697965778821,0.5868776657327517,0.6846679081546145,high
1,combo_006,13.626601329287853,0.8431975924161064,1.9995162436137512,2.478865630018118,Si3,Si3,0.4765691920319455,0.5234308079680545,412.6690294238579,1.8152126674297042,0.08043909077142633,1.0587841282738133,0.023430807968054523,409.1112125956957,True,412.6690294238579,12-14,0.2191780821917808,17,0.522509774208725,0.7386419219079298,0.5192948916058342,0.5749198451623807,0.5945679526409566,medium
2,combo_014,13.997398952125796,1.1059413410816998,2.0204680981979517,2.4929334624258943,A2,Si3,0.3860624469848233,0.6139375530151767,409.6848826668104,1.3962216085166377,0.09331970766054554,1.0833460932133678,0.11393755301517672,406.94828831411775,True,409.6848826668104,12-14,0.2191780821917808,17,0.61340145522959,0.8234835797110931,0.4411026634798775,0.5636341369054366,0.6345012364754754,medium
3,combo_006,13.759877717871316,0.8968466026129609,2.2221283844483337,1.789342553243166,Si3,Si3,0.3712098064589213,0.6287901935410787,407.504082669618,1.4113167925476244,0.06853959621563789,1.293748644423863,0.12879019354107868,404.7379017562247,True,407.504082669618,12-14,0.2191780821917808,17,0.6283172658058623,0.8204269501940931,0.5915311828409053,0.46695857306834165,0.6543891506187121,medium
4,combo_011,13.715852511920316,1.2412901504938312,1.5928182865097975,2.0573488824096176,A2,PU,0.4472816955197487,0.5527183044802513,404.4213326910002,1.6649772123609237,0.04577946263936617,1.3994517070984689,0.05271830448025128,401.1579773547728,True,404.4213326910002,12-14,0.2191780821917808,17,0.5519218339342219,0.7690631559598302,0.7296973570306249,0.41839023050508106,0.6325895946468139,medium
5,combo_007,13.107398369581533,0.6405168893065898,2.32980182988648,2.448196475258706,A1,PU,0.3864586313551115,0.6135413686448885,404.09465645792125,1.045310522871059,0.041176508829910315,0.7210033419201326,0.11354136864488851,402.04584783309394,True,404.09465645792125,12-14,0.2191780821917808,17,0.6130035858399556,0.8945396980084905,0.7576397465466309,0.7301230391645763,0.7439595696305443,high
6,combo_013,13.598787186286442,1.077589140852866,2.2061000313893047,1.8664633049254205,A2,Si2,0.45488290938403964,0.5451170906159604,403.99763874417687,1.289174001236261,0.08920701336393748,0.9156537203984312,0.045117090615960365,401.4708577017538,True,403.99763874417687,12-14,0.2191780821917808,17,0.5442882912014146,0.845159690149081,0.46606891575032194,0.640685268651674,0.633365382413035,medium
7,combo_013,13.636858136271208,1.0337215831489983,2.4296856485366547,1.5809380842886562,A2,Si2,0.4650265381416432,0.5349734618583568,402.9014879332499,1.2495027129230025,0.07211816732042176,0.9729220719199769,0.034973461858356814,400.4524626159208,True,402.9014879332499,12-14,0.2191780821917808,17,0.5341015203817353,0.8531927443064071,0.5698073437888651,0.6143716610384873,0.6490105733390755,medium
8,combo_005,12.767910589859497,0.6625443609795201,2.578302468214661,2.065858323508208,Si3,PU,0.46658002885686756,0.5334199711431324,402.6463667795959,1.3321656738286156,0.04895453072365402,0.7661092225946017,0.03341997114313244,400.0353220588918,True,402.6463667795959,12-14,0.2191780821917808,17,0.5325414224853461,0.8364542901247263,0.7104229969515048,0.7093978320723369,0.6858200591084405,high
9,combo_011,13.71872309676526,1.347260264247171,1.2892110908483492,1.952460932666812,A2,PU,0.4632976899409158,0.5367023100590842,402.4754194013824,2.0837265263064166,0.034691136607783855,1.5749202526614376,0.0367023100590842,398.3913154098218,True,402.4754194013824,12-14,0.2191780821917808,17,0.5358377215799134,0.6842704491864757,0.7970094218222482,0.33776611031081594,0.6028911382199844,medium
