TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 15,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.8599968101599416,0.14000318984005844,False,0.35999681015994156,0.2386555793551519,0_1_0_1,9.675620921,0.98792204,1.183543865,1.189145466,Si1,PU,combo_001,44,350.2500571,974.3623839,-0.010938804,0.043056993,905.000596,126.000002,72.8,,11.505720748941895,1.1692490695402846,350.70876387141
1,1,1,False,0.85796526723243,0.14203473276756995,False,0.35796526723243005,0.1427497253568273,0_1_0_0,8.06019862,0.78869847,1.25447499,0.610255496,Si1,PU,combo_001,45,338.2509983,900.5519734,0.000192355,0.047126975,843.8707609,110.000002,71.2,,4.918780506706615,0.9894025052662654,337.8211756355714
0,0,1,True,0.5731440653918014,0.4268559346081986,True,0.0731440653918014,0.18132186308176074,2_1_1_3,13.76074096,1.014253551,1.753918208,2.233039528,Si1,PU,combo_001,46,401.45397,279.6535216,-0.000334869,0.055209217,1213.901207,225.5,93.8,,30.728278498248667,1.7789177706275565,397.89791185684305
0,0,0,False,0.271433608958489,0.728566391041511,False,0.228566391041511,0.2407668173921722,3_2_3_1,14.77991196,1.173209052,2.904484593,1.077986344,Si1,PU,combo_001,47,386.2182987,268.5974393,-0.000360348,0.055136429,1163.857539,234.1,100.9,,15.932543258402273,3.4075676159021357,389.4550943809839
0,0,0,False,0.24275017841762292,0.7572498215823771,False,0.2572498215823771,0.3254488061559859,3_3_2_1,14.29465447,1.521996374,2.491628144,1.325357677,Si1,PU,combo_001,48,363.6559913,261.2459658,0.002437514,0.055259084,1062.609675,239.8,99.6,,18.945530041876864,3.7922490005243494,356.94058327003467
1,1,1,False,0.8859581871685123,0.11404181283148773,False,0.38595818716851227,0.09472424635076376,1_1_2_2,10.28895136,0.682214066,2.437545541,1.699119334,Si1,PU,combo_001,49,373.9438286,936.0495258,0.000744221,0.041924464,1007.644593,136.000002,80.2,,17.482156182361596,1.6629278545857797,370.57554486708545
1,1,1,False,0.9077270888985822,0.09227291110141778,False,0.4077270888985822,0.26279049707787533,2_0_0_2,13.11679385,0.675377244,1.552305526,1.674215959,Si1,PU,combo_001,50,416.4519824,551.1593235,-0.00031877,0.046221628,1203.646106,145.000002,92.9,,21.960345594583053,1.0483918279958504,412.57493114536175
1,1,1,False,0.9084726058658816,0.09152739413411837,False,0.40847260586588163,0.05444056636535601,1_0_3_0,10.73545038,0.636399787,2.925821985,0.565976266,Si1,PU,combo_001,51,369.3566304,528.8310965,0.002851599,0.041737036,1031.30615,142.000002,81.3,,6.076010119900681,1.8619924880539171,365.44869933339487
1,1,1,False,0.716194762896464,0.283805237103536,False,0.216194762896464,0.20814188284037885,0_1_2_0,8.985290483,0.943535211,2.382019031,0.545309521,Si1,PU,combo_001,52,334.5730729,1073.363105,-0.000215482,0.047621577,862.9844182,147.000002,75.0,,4.899764449330588,2.2475188290206005,330.54298364495264
1,1,1,False,0.8802201188498202,0.11977988115017979,False,0.3802201188498202,0.22171043071690408,0_0_3_1,8.477938018,0.501974534,2.767433724,1.23392296,Si1,PU,combo_001,53,355.7362769,622.4422913,0.001013993,0.045629663,928.346916,103.000002,72.6,,10.461122373867092,1.3891812539807846,354.34740645088556
0,0,0,False,0.31808187874463556,0.6819181212553644,False,0.18191812125536444,0.199388481693768,3_2_3_3,15.87667106,1.386648823,2.911300349,2.205784302,Si1,PU,combo_001,54,390.6276589,262.9012087,0.000387767,0.055281439,1187.169131,272.2,107.0,,35.0205117921657,4.036951202340339,398.8079419922235
1,1,1,False,0.8434577920403399,0.15654220795966012,False,0.3434577920403399,0.24045263428689226,3_0_0_1,15.03765683,0.273224475,1.53007673,1.103543277,Si1,PU,combo_001,55,466.8105543,1022.722806,0.001100375,0.047316104,1445.258275,123.000002,94.8,,16.59470509657963,0.4180544112639668,440.5267783839637
1,1,1,False,0.912403538926128,0.08759646107387198,False,0.412403538926128,0.1657566843139064,1_0_1_2,11.30919716,0.59282598,1.863569911,1.812573602,Si1,PU,combo_001,56,398.3516007,806.7907791,0.0013679,0.04404638,1108.475466,127.000002,84.3,,20.49875223202937,1.1047726587870876,392.24261961921826
0,0,0,False,0.173508006368138,0.826491993631862,False,0.326491993631862,0.1929327930391354,2_1_3_3,12.17183304,1.043791885,2.874388169,2.028167818,Si1,PU,combo_001,57,369.8624335,273.5725883,0.001475729,0.055198562,1029.211708,219.1,88.5,,24.686520057797104,3.0002630451422085,368.30852656353954
1,1,1,False,0.7397400321779628,0.2602599678220372,False,0.2397400321779628,0.18792377288169937,1_0_3_3,11.43860725,0.616126384,2.800402949,2.487719976,Si1,PU,combo_001,58,392.1134887,946.9791251,0.001384076,0.040691831,1097.088575,154.000002,83.5,,28.45605175344343,1.7254021427103063,389.25357269134787
1,1,1,False,0.8348306493016935,0.16516935069830652,False,0.3348306493016935,0.3141841969337569,0_0_0_3,8.199383897,0.437276158,1.377955802,2.425239004,Si1,PU,combo_001,59,361.9959191,581.3761913,-0.000195835,0.051896143,941.8254285,92.000002,72.2,,19.88546563577392,0.6025472189923687,375.4437488985592
0,0,0,False,0.418735395474215,0.581264604525785,True,0.08126460452578499,0.24479863519757927,0_2_3_3,9.430440291,1.152177951,2.659765278,2.465270549,Si1,PU,combo_001,60,330.7429708,276.4936256,0.002039499,0.055396542,847.8995946,187.3,77.1,,23.24858671350529,3.064522908146986,331.56294609380814
1,1,1,False,0.8661125595892827,0.13388744041071732,False,0.3661125595892827,0.10450790212011453,0_1_3_0,9.454516812,0.704645684,2.908515232,0.986311601,Si1,Si1,combo_002,1,339.3725782,598.7658838,-0.000227213,0.042943257,913.4081608,159.000002,77.6,Itr_1,9.325099613525136,2.0494727050770587,340.21680017380527
1,1,1,False,0.8658528371914826,0.13414716280851735,False,0.36585283719148265,0.1016784323151728,0_1_3_0,9.209084471,0.760345726,2.759621556,0.879980971,Si1,Si1,combo_002,2,333.2827753,579.9369509,-0.009506311,0.040014937,887.2415173,166.000002,76.5,,8.103819094811602,2.0982664554820696,334.66776624539165
1,1,1,False,0.8536268293952389,0.14637317060476107,False,0.35362682939523893,0.06300078701171817,0_1_3_0,9.078328609,0.733042037,2.946453623,0.755936154,Si1,Si1,combo_002,3,331.8765355,1002.639105,0.000217808,0.046393157,886.1739905,157.000002,76.2,,6.86263681343563,2.15987436572995,328.6888239132842
1,1,1,False,0.7673474089245929,0.23265259107540714,False,0.26734740892459286,0.06300078701171817,0_1_3_0,8.734976394,0.784127961,2.897042465,0.804867966,Si1,Si1,combo_002,4,324.7401741,931.7840603,-0.000209225,0.042054125,855.7072884,167.000002,72.2,,7.0305026832967945,2.2716520010108643,326.57163081087197
1,1,1,False,0.8163730000726446,0.18362699992735543,False,0.3163730000726446,0.08843072925470084,3_0_3_3,15.94052675,0.676812581,2.806172472,2.302029449,Si1,PU,combo_001,5,436.8073538,529.8164825,-0.000389363,0.0455555,1397.045205,198.000002,101.3,,36.69556201107226,1.8992528335054701,443.19810512455064
1,1,1,False,0.7862306683728093,0.2137693316271907,False,0.2862306683728093,0.05444056636535601,1_0_3_0,10.34520071,0.631386696,2.918077571,0.613277388,Si1,Si1,combo_002,6,349.0919751,950.0800227,-0.00274428,0.03767148,962.9750737,162.000002,81.0,,6.3444776697645455,1.8424353562253952,348.9142588920805
