sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,CellD_x_Resin,Barrier_x_Outer
11,boundary,gp,15.976604258083,0.9904696127627182,2.0848735158716325,1.6534106204434063,Si1,Si1,combo_002,0.49762053063327283,0.5023794693667272,0.9952410612665457,0.0,0.0,428.76532368507367,2.4496037078869524,0.0,0.3853185666001843,0.9999999599999999,0.7724549280829718,0.7353023659844299,0.2912399485807047,26.41588715893578,2.0650038639246224
12,boundary,gp,10.873358268300933,1.4852174104284472,1.2101993625531375,1.7208584705551628,Si1,Si1,combo_002,0.4963386380875425,0.5036613619124575,0.992677276175085,0.0,0.0,348.20154904296277,1.4037181018164606,0.0,0.39645848652031723,0.9999999599999999,0.7723493155572594,0.4598922937680624,0.25073219011414294,18.711510679386677,1.7974091633533285
13,boundary,gp,14.96580489476916,1.0454320656198246,1.9702174849659135,1.4034719477148454,Si1,PU,combo_001,0.5020110403734219,0.4979889596265781,0.9959779192531562,0.0,0.0,422.43760185016964,1.4634807294452887,0.0,0.3615069758129189,0.9999999629999999,0.7698450204915586,0.7007862367330824,0.24789958673205867,21.00408734478204,2.059728535028211
14,boundary,gp,11.891344411833074,1.3103566431587856,1.474922557366271,1.8317678832700925,Si1,Si1,combo_002,0.4987393628013064,0.5012606371986936,0.9974787256026127,0.0,0.0,370.2308383116973,1.1492957453708486,0.0,0.33592353093999555,0.9999999599999999,0.7674648380044975,0.5232245202673448,0.23139153588453537,21.782182782499113,1.9326745711896383
15,notp_high_tmax,gp,15.917947233462888,0.9577798053850801,2.284616634526239,2.3972994510864805,Si1,PU,combo_001,0.467495459961782,0.532504540038218,0.934990919923564,0.0,0.0,439.1532435097517,3.6220821868053727,0.0,0.31049951714429846,0.9999999629999999,0.7268506816090685,0.7754314159451037,0.3273011083333824,38.16008616520414,2.188159675596058
16,notp_high_tmax,gp,13.939555847483799,0.9754590039110653,2.939035355403057,0.5078163948295988,Si1,PU,combo_001,0.180466977283686,0.819533022716314,0.360933954567372,0.0,0.0,398.67844051640014,2.933217029348378,0.5364465152245733,0.6193479847308837,0.9999999629999999,0.4232269901203891,0.6655091141676654,0.34584764542644497,7.0787349959950765,2.8669085002408696
17,notp_high_tmax,gp,11.663720286971767,0.9639344008519637,2.892410322221752,0.7558897804253122,Si1,PU,combo_001,0.4083452386344959,0.5916547613655041,0.8166904772689918,0.0,0.0,373.993246129625,2.859284168729041,0.0,0.45898916293097897,0.9999999629999999,0.6751494886777486,0.5675853358133701,0.318812238544805,8.816486966661348,2.7880938109688596
18,notp_high_tmax,gp,9.953592006074507,1.0489041209794452,2.6629860405898933,2.46985001129462,Si1,PU,combo_001,0.3971290703065051,0.6028709296934949,0.7942581406130103,0.0,0.0,358.8679348324021,1.6880763955800315,0.019139531289965962,0.4141484045795795,0.9999999629999999,0.655994331914167,0.4999531419978688,0.2648533534234471,24.58387932862516,2.793217032085475
19,uncertainty_sparse,gp,8.172744691437464,0.5240301062626467,1.1886140125225824,0.7360697284631826,Si1,Si1,combo_002,0.9095720574034658,0.0904279425965342,0.1808558851930684,0.0,0.0,352.99722584864924,8.791860015148979,0.0,0.5000514930628505,0.9999999599999999,0.30028799063129014,0.5711235675982804,0.56422204769966,6.015709965825291,0.6228695272874797
20,random_check,gp,9.746510275368584,1.5952075059224085,2.9320217927598353,1.2753526133759592,Si1,Si1,combo_002,0.18711009747505614,0.8128899025249439,0.3742201949501123,0.0,0.0,314.3490845189781,1.0145689182194182,0.580733983167041,0.41522098705422017,0.9999999599999999,0.4050198807976303,0.3461544982125769,0.2378528558127448,12.430237350986962,4.677183171338566
