TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred,oof_Time_MaxT_pred
0,0,0,False,0.3329281210899353,0.6670718789100647,False,0.1670718789100647,0.05364132422883514,2_0_2_1,13.35065068,1.430194005,2.296082029,9.077405733,ETI,combo_001,39,145.0149576,131.1597196,139.1000703,209.9843995,-0.494992756,0.111517761,1467.622395,246.5,93.3,,30.654189101804626,142.70822560077733,130.45827273408767,137.41020329988092,-0.17787985420715155,0.11156854946755425,1460.6700608451674,252.67472088372176
0,0,0,False,0.0026131204795092344,0.9973868795204908,False,0.49738687952049077,0.17040968178779034,0_1_1_1,11.4589023,1.551103938,2.025864351,8.376097639,ETI,combo_001,40,135.1740172,127.0168559,132.218416,194.1976058,-0.505656481,0.109239106,1301.501165,246.9,99.5,,23.214181671161906,135.62166545546046,126.86278560236414,133.08008453354475,-0.40516475561801074,0.10931331734525739,1303.3808059756768,255.19916363941684
1,1,1,False,0.9988430738449097,0.001156926155090332,False,0.49884307384490967,0.05298938758745848,1_0_2_0,12.09571751,1.328031224,2.548387905,4.06959172,ETI,combo_001,41,127.9935738,113.6711892,126.4988497,665.8329814,-0.178496748,0.101755258,1572.552316,174.700001,85.6,,30.824580204780712,148.60185871411915,132.10004540868346,141.35146604988697,-0.49469667526033767,0.11102786367048653,1566.2283171447136,267.10095183484447
0,0,0,False,8.875045409695304e-08,0.9999999112495459,False,0.4999999112495459,0.2776402865428832,1_3_1_1,11.97173635,2.565646493,1.740496388,12.01757663,ETI,combo_001,42,118.7551794,109.9631066,114.8088014,151.6153983,-0.490554284,0.113198274,682.0241471,345.2,141.8,,20.836763875263305,118.55414163927992,110.02303582718639,114.5771365708434,-0.4172173239234439,0.11272013387469365,685.8660334494092,348.7131556747475
0,0,0,False,2.4383286730857157e-13,0.9999999999997562,False,0.49999999999975614,0.1957251786003353,2_2_1_2,13.84883992,2.334902569,1.831013949,16.44410094,ETI,combo_001,43,121.5448532,112.9072987,118.6654266,162.8231479,-0.487830693,0.114168358,798.6030825,324.6,143.8,,25.357419070988044,122.19314765544156,113.84772083593872,120.08210920324832,-0.1918527514902675,0.1141829360582479,793.3594807604984,329.655354140091
0,0,0,False,0.04758679121732712,0.9524132087826729,False,0.4524132087826729,0.19177451284901814,3_1_0_2,14.52152191,1.600683947,1.228783184,18.16845963,ETI,combo_001,44,132.1120744,126.575296,127.0278629,197.06383,-0.17011568,0.11378632,1277.338185,249.1,103.5,,17.843801929095562,132.30873188245764,126.89850414685442,127.18439838704158,-0.276622520091783,0.11456798369649507,1282.0861480258627,257.65070827361217
0,0,0,False,0.011315224692225456,0.9886847753077745,False,0.48868477530777454,0.0970435668201716,1_1_1_0,12.35701602,1.54475398,1.920165113,1.166156237,ETI,combo_001,45,134.5168123,126.5414066,131.6639061,197.0939563,-0.501871474,0.109592601,1319.358642,246.8,101.2,,23.72751106238611,136.43922080343228,127.5426461711832,133.17048442230762,-0.47072426948396195,0.1110095379412044,1320.9266307832124,250.6912131829942
0,0,0,False,1.7319459668513337e-12,0.999999999998268,False,0.49999999999826805,0.25610967743512275,0_2_2_0,11.41183321,2.481094929,2.509214957,4.468702623,ETI,combo_001,46,121.0833183,111.3644277,118.917445,154.9185571,-0.492485628,0.110522753,709.3797956,339.5,114.7,,28.634742577321322,121.10862807946779,111.53584654607788,119.16644745208887,-0.4888864409807181,0.11035496791022877,700.8244848572622,338.5526767063302
0,0,0,False,2.9374186851782724e-05,0.9999706258131482,False,0.4999706258131482,0.1650491268331229,1_1_2_0,12.85891605,1.982615911,2.165518116,2.369970241,ETI,combo_001,47,127.2226426,117.8163342,125.7453764,176.2665006,-0.493438715,0.10900341,985.987459,289.6,125.6,,27.846215658398158,127.53027739503864,118.36630048565736,125.86888577900929,-0.48314596569431956,0.1084066714717573,983.800531960248,287.50589243635187
0,0,0,False,6.821010770097224e-13,0.9999999999993179,False,0.4999999999993179,0.11849939888399455,1_2_2_0,11.91172733,2.197715698,2.27665003,0.03099692,ETI,combo_001,48,125.4794822,115.9640749,123.696579,166.4296602,-0.491168612,0.108729852,838.103812,313.3,132.9,,27.11883438319632,124.10475100721052,114.0514949043192,122.50111469611684,-0.4965317304176706,0.10974971790573279,839.1555395562787,309.36083364335815
0,0,0,False,2.6587522938825714e-07,0.9999997341247706,False,0.4999997341247706,0.10409336688503787,1_1_2_0,11.84709055,1.844776281,2.20888605,5.321620453,ETI,combo_001,49,130.2486697,121.5177486,129.1981475,180.1714856,-0.496008237,0.108604612,1063.872438,273.2,115.4,,26.168873048981826,129.07379147162905,120.31952432504889,127.44463952428247,-0.49993537613407896,0.10755181957648709,1059.431526921488,273.3808755886148
1,1,1,False,0.9999968409538269,3.159046173095703e-06,False,0.4999968409538269,0.12341728997378867,2_0_0_1,14.34698268,1.259593513,1.530310136,8.56371923,ETI,combo_001,50,119.9519021,103.7471295,114.6604385,538.1958972,-0.203547342,0.097719549,1684.56382,140.200001,87.5,,21.955333016220443,147.2588263295142,133.2558738269942,136.95439171739838,-0.22795431731667468,0.11881043782182184,1664.2479276041117,237.67796007971629
0,0,0,False,1.6725632434599902e-08,0.9999999832743676,False,0.49999998327436757,0.2356921467806825,0_3_1_3,10.76713335,2.65734778,1.708659771,27.2075438,ETI,combo_001,51,116.2673587,107.706075,111.6650804,144.9339801,-0.489517303,0.113012896,609.6769197,356.2,120.6,,18.39736760413746,117.18165385023718,107.31594408508883,110.00172132205925,-0.5012273705950442,0.11704572331165725,589.8479158718272,355.2031420612834
0,0,0,False,2.5779863790376112e-05,0.9999742201362096,False,0.4999742201362096,0.16415484760549962,1_1_0_0,12.64840794,1.950624787,1.586906288,2.631555019,ETI,combo_001,52,127.1701666,118.3939661,123.6960732,175.5125165,-0.492224256,0.110157166,995.5813093,281.9,122.5,,20.071838093175128,126.66209788780432,118.38587381419953,123.76879196872463,-0.4063487913527667,0.11089353998330771,995.5376435889789,278.29642391299046
0,0,0,False,0.01254492998123169,0.9874550700187683,False,0.4874550700187683,0.057346255491119255,1_1_1_0,12.97830343,1.509045457,1.927776525,0.350262839,ETI,combo_001,53,136.3677307,128.2742501,132.7412609,201.8713448,-0.498151284,0.110796337,1360.977366,248.9,95.7,,25.01926868668098,137.66457214948727,128.29877953567157,134.02216950560071,-0.41087759280275726,0.1110151244164945,1364.724370651451,248.17793733571122
1,1,1,False,0.9999712705612183,2.872943878173828e-05,False,0.49997127056121826,0.1442310504665802,2_0_3_1,13.94898428,1.273556292,2.652977911,14.97391443,ETI,combo_001,54,118.6686711,101.5547449,116.3554877,789.0604078,-0.200362716,0.097396175,1675.920468,141.600001,86.8,,37.00634717572623,152.29793390899826,134.04903385595247,143.60774881235332,-0.21141058618868816,0.11503128615928394,1659.450404442297,254.00242332799797
1,1,1,False,0.994661808013916,0.005338191986083984,False,0.494661808013916,0.10996929426142105,1_0_0_3,12.53373158,1.247558002,1.401437673,24.98180722,ETI,combo_001,55,122.9402947,106.541116,114.712342,647.5336324,-0.458771669,0.099288215,1619.206972,142.700001,88.5,,17.565243619481812,146.40996253920846,132.94107628248778,134.49335378042628,-0.3792632909947684,0.11407584523639659,1600.736155608518,240.56489588883557
