TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred
0.0,0,0,False,0.30576094600360193,0.6942390539963981,False,0.19423905399639807,0.3338933483146959,2_3_2_1,13.45750184,2.592039563,2.315864586,11.28892172,ETI,combo_001,23.0,120.228863,111.7351494,118.5145194,154.3928229,-0.177243073,0.113361222,694.0744422,355.9,132.3,,31.16575192728584,120.5484552388624,111.57375770503023,117.51411825197462,-0.42706256150343913,0.11586141756256264,697.8805577348694
0.0,0,0,False,0.11813091018075284,0.8818690898192472,False,0.38186908981924716,0.22555834890042328,1_0_0_0,12.38042866,1.451160741,1.313559748,0.146825804,ETI,combo_001,24.0,135.3784733,128.0530249,130.3009519,202.167333,-0.503708319,0.112641563,1402.684714,239.4,91.6,,16.26243275076158,137.2975906970262,128.8849342167911,130.37222726117471,-0.4737332229367577,0.11213140911775919,1400.53319512247
1.0,1,1,False,0.8788685833242198,0.1211314166757802,False,0.3788685833242198,0.2722735912277811,3_0_0_2,15.63504525,1.379136971,1.480843839,20.81970087,ETI,combo_001,25.0,123.319181,109.3668989,119.5363414,623.3387258,-0.191874234,0.102583366,1495.030216,171.200001,102.3,,23.153060430948713,140.81505951049232,131.92658713959332,133.1914843476625,-0.451816701162074,0.1173089050098123,1522.8363634877414
0.0,0,0,False,0.21409362140593657,0.7859063785940634,False,0.2859063785940634,0.3311377678802834,1_2_0_1,12.21980399,2.281497023,1.2,7.911698289,ETI,combo_001,26.0,118.4616501,110.9127481,108.5986688,160.607642,-0.492498888,0.113771913,786.6348253,310.9,109.3,,14.663764788,120.253518903945,113.55187199903969,115.7373289622873,-0.4290096595294117,0.11209805205394802,799.2842764002567
0.0,0,0,False,0.04630365054026697,0.953696349459733,False,0.45369634945973303,0.2987769311043483,1_1_3_3,12.75712505,1.530503559,2.837921421,22.31093137,ETI,combo_001,27.0,140.5068798,129.7048365,137.3001293,206.4664956,-0.498304633,0.108818914,1349.898592,268.8,97.0,,36.2037184497707,138.77073539147898,127.75585051626369,135.73124274141605,-0.429009659529412,0.11203168997859,1291.9728923487596
1.0,1,1,False,0.9263447814971641,0.07365521850283585,False,0.42634478149716415,0.2568780356995439,1_0_2_3,12.30485762,1.214186604,2.416089212,24.12369221,ETI,combo_001,28.0,120.0641872,102.2303714,116.0390656,573.838219,-0.216084651,0.093075609,1674.727971,133.300001,86.1,,29.729633750877998,147.77944561604073,135.01123708782907,140.97236579093249,-0.4754360129903582,0.11385367164392833,1724.7854042601239
1.0,1,1,False,0.9444191017836374,0.055580898216362584,False,0.4444191017836374,0.17358502209383156,1_0_2_1,12.92913101,1.200930259,2.042271595,10.28808177,ETI,combo_001,29.0,118.91894,101.4152705,113.8471016,687.7833453,-0.203833494,0.093426761,1760.032955,128.500001,81.6,,26.40479700975666,147.06115537997914,134.45277283116752,138.1390092321342,-0.46018867002724984,0.11442330824081431,1715.0361553861944
0.0,0,0,False,0.09083912970288566,0.9091608702971143,False,0.40916087029711434,0.15624868348259716,1_0_2_0,12.72625237,1.478698659,2.136225419,5.013696117,ETI,combo_001,30.0,139.9672219,129.5725131,135.5075955,202.8042662,-0.500975981,0.110307988,1399.09162,247.3,94.1,,27.18614380140299,138.65705646719462,129.08386048024732,134.23666290256023,-0.4972811653119102,0.11038315845196374,1399.0594684825985
0.0,0,0,False,0.03459422492301201,0.965405775076988,False,0.465405775076988,0.27710504738187947,1_1_1_3,12.48968121,1.65853431,1.6786106,28.0990017,ETI,combo_001,31.0,133.2529062,126.1137635,130.6186557,190.5235579,-0.494677424,0.111365092,1142.369311,264.9,112.3,,20.96531126972683,132.235029671525,124.02451540283813,128.3584236176768,-0.42934225823529415,0.11041345850710457,1211.4161487136498
0.0,0,0,False,0.33635986530055106,0.6636401346994489,False,0.16364013469944894,0.2821621094617264,1_3_3_0,12.59646442,2.779203713,2.467661829,0.456843482,ETI,combo_001,32.0,118.5720215,109.9092169,116.6232328,147.7749205,-0.176604796,0.111585332,629.2225015,377.3,154.9,,31.083814429590625,117.95038496976473,108.99862082263549,116.88213273117378,-0.4721312697337042,0.11272281715975975,627.4822339334096
0.0,0,0,False,0.15577230193594005,0.84422769806406,False,0.34422769806405995,0.15189913374545583,2_0_0_0,13.59015313,1.501512065,1.447954045,2.04826547,ETI,combo_001,33.0,135.7240892,128.5528372,131.3544061,201.9387965,-0.167427616,0.113634816,1374.151635,242.4,97.2,,19.677917196752908,136.7717318921599,128.6576655500434,131.4127985796332,-0.4981196086389381,0.11270659549975494,1362.6294137884506
0.0,0,0,False,0.06240499819625711,0.9375950018037429,False,0.4375950018037429,0.12309455139212774,2_1_1_0,13.00527803,1.727866034,1.985786039,1.732489253,ETI,combo_001,34.0,130.8606287,123.1317249,129.606657,188.1894146,-0.496930479,0.109268691,1165.750455,263.5,112.5,,25.82569954528742,132.219159086275,123.66246134944649,130.08617562559638,-0.1926682142960837,0.1114012551949645,1171.0137647339127
0.0,0,1,True,0.871854127355391,0.12814587264460897,False,0.37185412735539103,0.24939047305241596,0_0_1_2,11.28318555,1.35462068,1.610089625,15.66181976,ETI,combo_001,35.0,144.3751341,131.0303731,134.9232834,205.8155927,-0.515159906,0.111606002,1508.412612,251.5,84.3,,18.16693999100492,138.26622402765736,130.10214279446262,131.97445605845456,-0.477156604448002,0.11156347072254914,1423.0980434346905
0.0,0,0,False,0.07358103387025494,0.9264189661297451,False,0.42641896612974506,0.15189913374545583,2_1_0_0,13.28419466,1.739597821,1.563146092,0.639091823,ETI,combo_001,36.0,131.2136214,124.3456056,129.3294011,187.035611,-0.494149595,0.111389002,1158.988633,263.5,113.3,,20.76513696814627,130.1610698099748,122.93327177093406,127.74516955108108,-0.3636042958076911,0.1105936656451933,1153.5428020804463
1.0,1,1,False,0.9367023686398852,0.06329763136011479,False,0.4367023686398852,0.164264784526583,2_0_1_0,14.22952623,1.287640737,1.787067237,6.229099074,ETI,combo_001,37.0,121.5992608,105.4636897,118.2500353,790.7929896,-0.19074827,0.097624115,1652.554364,145.400001,87.8,,25.429120123665125,143.38110193236002,133.9526951364013,137.05877130002366,-0.42934225823529415,0.11477830593667411,1570.9069107463965
1.0,1,1,False,0.9439108229570365,0.056089177042963456,False,0.44391082295703654,0.14101243544091893,2_0_2_0,14.1017874,1.341482752,2.095596936,2.950140069,ETI,combo_001,38.0,120.5991325,105.0478561,117.9771069,787.9494829,-0.47018333,0.100954274,1574.540059,159.500001,91.3,,29.551662467563407,143.24835266983615,132.23328510255848,138.00498269264895,-0.48438790933481096,0.11333675429511567,1560.2133695108914
